"","logFC","AveExpr","t","P.Value","adj.P.Val"
"gzmh",-2.58060586568643,4.72243046858636,-5.47046575318664,7.11528325970256e-08,0.000899300651193806
"pi15",3.00247146682937,-1.36901440709139,5.14273747679971,3.39209513282753e-07,0.00214363451919036
"ighg1",-2.24829023964811,9.2270230526203,-4.64697200460777,3.16711776536145e-06,0.0133430671454678
"mmp28",-2.3976250556979,0.391587951540638,-4.53069117445731,5.22438199317809e-06,0.0145002353519605
"msc",-2.18756966393062,1.19412766814014,-4.50873474901842,5.73630641346644e-06,0.0145002353519605
"epx",2.82152268479172,3.28245903078762,4.39607741954669,9.21887274602981e-06,0.0185596979165383
"fbxl16",-2.51324406537187,-1.5108974384151,-4.36993004541257,1.027912694167e-05,0.0185596979165383
"slc18a2",2.00905961882601,2.85770378687381,4.29314400267512,1.41124249457806e-05,0.0222958673612152
"abcb11",2.91468895495737,-0.160656507507735,4.15063244748602,2.51357590307858e-05,0.0333496643557491
"alox15",2.40895459279515,6.98980269327635,4.13848043947286,2.6386315654521e-05,0.0333496643557491
"scin",2.10933507623921,0.750667596753387,4.10163072581885,3.05521488848098e-05,0.0351044190686464
"slc1a1",2.34719057537164,-2.75157139378278,4.07570101629347,3.38520873902019e-05,0.0356547110437301
"il25",-2.07744837340663,-1.99980459682382,-4.01368998736378,4.31776254936002e-05,0.041978616047201
"il13",2.27163453839198,-2.23143407377291,3.90415452569744,6.59109597285363e-05,0.0595034728577836
"il17rb",1.67637355337196,3.76593331540015,3.85957606237865,7.80958447873534e-05,0.0658035588178239
"mmp3",2.20590324436038,3.73455388385503,3.79358318499389,0.000100119797161041,0.0790883822698996
"prg2",2.62402717228176,3.94197707266579,3.761018583996,0.000113043051604533,0.0840441840723347
"maob",1.96255484044677,-1.16737668352647,3.44194543387221,0.000356085497376875,0.250031366741462
"slurp1",-1.89294372005503,1.03949033761702,-3.39602551629891,0.000417353700599263,0.277628074835478
"chrna4",2.10015751135089,-2.95215208808656,3.36396381568634,0.000465831138715345,0.294381988111163
"hlf",1.62908065587885,-0.186467025740513,3.26908499389862,0.000641855733633102,0.380046704789592
"cacna1d",1.67747629226733,2.2834132593742,3.26004233657247,0.000661526030965348,0.380046704789592
"tspan11",-1.60537249172567,4.4921390811884,-3.21748621527575,0.000761853393553396,0.399319434148262
"dusp1",-1.46283215692387,10.0637340628412,-3.21602130670419,0.000765546315366931,0.399319434148262
"muc6",2.25692655200626,-1.77873907330585,3.20613449628759,0.000790908057665612,0.399319434148262
"ms4a4a",1.89824932861338,1.2688908638171,3.19323612309206,0.000825167764635462,0.399319434148262
"fabp4",-2.5115032686462,-1.65279613914354,-3.1831024485435,0.000853044127067258,0.399319434148262
"hpgd",2.01232864898336,-0.674448281910155,3.14381575665093,0.000969575561934622,0.43765948311756
"mmp1",1.77911323467888,10.800927232947,3.12898639379288,0.00101726956316504,0.440520027008321
"klhdc7a",1.83802958727916,-1.75586425726252,3.12047321426994,0.00104562076194712,0.440520027008321
"gzmk",-1.65348730692575,5.26574265141518,-3.02179931104249,0.00143198689510831,0.583834915073353
"piezo2",2.30917626329007,-0.976214567230837,3.00377776592449,0.00151537669437974,0.598526438758297
"ccdc103",1.98307730697068,-1.46037750744903,2.98905520038552,0.00158679016287967,0.607740632382915
"saxo1",1.78393781693167,0.228515603372564,2.97707663497928,0.00164716075713531,0.612307788512741
"il22ra2",-1.75194561508102,1.1490640138405,-2.91256411581879,0.00201012157117805,0.725883615374839
"ig gamma-3 chain c region ",-1.79814489803772,8.55564122443763,-2.87428485453634,0.00225871018501254,0.788383252720728
"drd2",-1.97328834708981,1.71175190394096,-2.86716253138143,0.00230795002378882,0.788383252720728
"anpep",1.75221586074042,5.90933871148418,2.79373258864627,0.00287581683650735,0.949591362900715
"ms4a2",1.51152276028601,3.6233912856383,2.78020497185399,0.00299334469547803,0.949591362900715
