"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.7390312840184,1.96264750054889,-20.4515505861684,3.95320441290948e-50,4.9964550574763e-46
"obsl1",-3.41873529198246,2.15949487255748,-15.1688941480526,7.69196510637225e-35,4.69704781377201e-31
"slc14a2",4.02739820638247,-2.06885660272768,15.1149381615912,1.11489385563067e-34,4.69704781377201e-31
"sybu",3.75349471515,-1.71657653906685,13.0347259784865,1.93883422779251e-28,6.12623145126738e-25
"ripk4",-3.53842232175468,-2.50145050944955,-11.8949078085053,4.98009753736027e-25,1.25886905549393e-21
"ighe",3.62585250134525,8.88776656682691,11.255688218561,3.91456083846653e-23,8.24602240622975e-20
"ighv3-23",2.80396737649992,4.47918579024597,11.0612340449145,1.46448405935515e-22,2.64423057516996e-19
"il25",3.28746202557999,-1.99980459682382,11.004087970562,2.15627963974846e-22,3.4066522958476e-19
"iglv1-40",2.71034001542878,8.54557594749202,10.4109066442465,1.16498515616716e-20,1.63602748764409e-17
"zmat1",2.87293243031487,-1.36433845581192,10.2734029120393,2.91477366650802e-20,3.68398243709949e-17
"emx2",3.83864961379633,-2.29576672364914,10.1269082933872,7.71560804831665e-20,8.86523364751583e-17
"sall4",-3.07625299447271,-2.37514771125799,-9.95966376488564,2.3330792838267e-19,2.45731575569047e-16
"ig gamma-3 chain c region ",3.20074000549847,8.55564122443763,9.72366680499394,1.10150726748463e-18,1.07091925797987e-15
"kcns3",2.24449685608906,2.74365329463691,9.56152953342938,3.17792873358571e-18,2.86898866169927e-15
"igll5",2.51550709608472,10.4937204878472,9.39796942587262,9.19919481329856e-18,7.75124154968536e-15
"slc13a2",2.95769473433126,-1.01708386621617,9.14412278922968,4.72797407756343e-17,3.73480402289526e-14
"slurp1",2.6785250617921,1.03949033761702,8.99013587528313,1.26611819193149e-16,9.41321636930714e-14
"tlx2",2.69891175880126,-3.45550932076994,8.96208868409566,1.51390847926681e-16,1.01873534323016e-13
"maneal",2.00588988351803,-0.093295670142186,8.96028001224191,1.53144801973043e-16,1.01873534323016e-13
"ig gamma-2a chain c region secreted form ",2.91107598678748,5.50804614228105,8.92220809000206,1.95126573779219e-16,1.23310238299778e-13
"ppfibp1",-2.37333731112379,0.209645111213982,-8.8056483215951,4.08653633937172e-16,2.45951108539615e-13
"hoxb7",2.31213792018117,-0.65584984427756,8.77931548722208,4.82673789062724e-16,2.77296091816535e-13
"tspan7",-2.27174601069193,1.29667357210893,-8.58263532483189,1.66296068125552e-15,9.13833045669064e-13
"ighv3-74",2.32630536143267,7.81232161906872,8.54578298593965,2.09404775194555e-15,1.10277789736833e-12
"fst",-2.33309712951308,1.89022510054396,-8.49254857508248,2.91925597070671e-15,1.47585904855049e-12
"ighg1",2.97370948007356,9.2270230526203,8.47516915593519,3.25307930639533e-15,1.58137189821271e-12
"pzp",3.41092509582185,-2.02273213602668,8.36492675783783,6.45075553300674e-15,3.01967034006194e-12
"dll1",-2.3251008865461,-0.5379592202517,-8.35271372331682,6.95736625822621e-15,3.14050543349004e-12
"ftcd",-2.75193110608734,-1.98838466182892,-8.29555350213569,9.9046539544463e-15,4.31672142518092e-12
"jchain",2.28910244168444,6.40164193318264,8.23181528446247,1.46669010208215e-14,6.1791654000721e-12
"mmp2",-2.17157330907872,0.429413488155905,-7.94351755125608,8.51232513680779e-14,3.47055733561657e-11
"ackr3",-2.39049895537432,-0.194735804531897,-7.83105462802178,1.67689978095689e-13,6.62323010359817e-11
"mycn",-2.49595633544613,0.602055602477889,-7.77380410644901,2.36390441048845e-13,9.05375389217076e-11
"trpm6",-2.64613143719281,0.640883631347923,-7.63085925033982,5.54144259528681e-13,2.059949792995e-10
"afap1l2",-2.32725280355204,0.866678420710443,-7.57369757841211,7.77360238391844e-13,2.80715887229558e-10
"islr",-2.54739818657282,-2.65136011621106,-7.56084147863379,8.38700980393891e-13,2.94453935866622e-10
"iglv2-11",2.48081424492356,6.549550669594,7.55221120255832,8.82539088762909e-13,3.01470582239849e-10
"csdc2",-2.17349738462623,0.367359606100752,-7.50389725813248,1.17318768631517e-12,3.90208399140458e-10
"olfr6",2.34107214756237,-0.254085605849216,7.47114403647651,1.42217111890801e-12,4.60892840304572e-10
"ccdc3",-2.64217164699048,-2.05973025216034,-7.45256075294136,1.58595950740999e-12,5.01123555353872e-10
"hrh1",2.39716259061512,-2.44712113960182,7.30722148590817,3.70192702895746e-12,1.1411867248535e-09
"ddr2",3.2441797437987,1.14108781829829,7.16975440200264,8.18651968102734e-12,2.46355767258344e-09
"gask1a",-2.32031766397523,-1.23611785336786,-7.14635358028769,9.36317236842383e-12,2.75211943173276e-09
"msc",2.45489602587336,1.19412766814014,7.11213769619333,1.13898084166968e-11,3.27172246769616e-09
"apba2",-2.9179628954707,-1.2009297474973,-7.06701855374354,1.47362271802515e-11,4.13891500735997e-09
"col1a1",-2.81004248252248,-2.24960453873517,-7.00975146978427,2.04086667272846e-11,5.60750301665542e-09
"wdr72",-2.35195412951421,-2.8295201729942,-6.96925098682008,2.56715761605469e-11,6.90346917219472e-09
"col6a2",-3.75636804153284,-1.0563680705147,-6.9466639499517,2.91662971759504e-11,7.67985062514244e-09
"cdx2",2.27303406189849,-3.80503396828638,6.81196572067165,6.21347406771774e-11,1.60269589269152e-08
"tmprss7",-2.69815347571111,-0.769275900772271,-6.80045936414276,6.62557375068559e-11,1.6748125326983e-08
"sorcs2",-2.59326596979467,-0.0894110929697619,-6.74010108468957,9.26997395420429e-11,2.29731766288604e-08
"mmp28",2.52417297954796,0.391587951540638,6.66907570037753,1.3732598142573e-10,3.2949175365115e-08
"arhgap36",-2.22149813256676,-3.02854128887366,-6.66796738953305,1.38168074558991e-10,3.2949175365115e-08
"gcgr",-2.31738477994413,-2.71859027146777,-6.57702395901138,2.27713578342878e-10,5.32976280865858e-08
"wif1",1.9125501281701,-0.0923390447206183,6.54957216282334,2.64571371079603e-10,6.07985010740927e-08
"ildr2",-2.16772366869686,-0.302665470950315,-6.44101135589362,4.77109325748349e-10,1.07681870859525e-07
"cdh11",-2.18055543537699,-1.51550026611814,-6.36280306065455,7.26957958273927e-10,1.6119336201095e-07
"kirrel1",-1.90503482962454,0.611267832613942,-6.35315610191128,7.65553534081047e-10,1.66824674435351e-07
"spata31e1",-2.40444404220048,-3.20243773397182,-6.33739861088821,8.32967304127337e-10,1.78438538251956e-07
"st8sia6",2.17758629352586,-4.00241139340946,6.17737201525878,1.94849830218091e-09,4.10451167354409e-07
"abcb1",-2.34881106550981,-0.936584165226231,-6.11467257994532,2.70841449568495e-09,5.61174603458396e-07
"plcl1",-1.85956845644133,0.306804286672919,-6.07789983053409,3.28223197664017e-09,6.69098870205728e-07
"nxf3",2.29558040128898,-2.91913124501684,6.02196591699553,4.39039158670103e-09,8.8079617879864e-07
"zc2hc1a",2.06695633076378,-2.08994394224571,5.97340314592094,5.64404970695174e-09,1.1146116288463e-06
"cdkn2a",1.58503991982664,1.88854891226362,5.89671975217825,8.36956179667735e-09,1.62742910074162e-06
"axl",-2.03688041985988,0.971442966557846,-5.72335196748173,2.01513026616434e-08,3.85897445970472e-06
"cga",2.01013485587039,0.239977825630198,5.64557874641364,2.97219713833593e-08,5.60680591513849e-06
"pls3",1.9308440854448,-0.400941879584286,5.60749347823201,3.59064013943217e-08,6.67383834151223e-06
"cacna1i",-2.18628481072079,1.92189452143312,-5.53170383599125,5.21728055144972e-08,9.5566969405468e-06
"prss33",-2.34663800614259,-2.64347197258653,-5.46609973892513,7.18984570185468e-08,1.29817799751059e-05
"tmprss3",2.14443542803244,-1.8072126482812,5.39511447252173,1.0142897190736e-07,1.80557855765792e-05
"dstn",1.85824212994284,-0.615613854639175,5.35652614666807,1.22136979086493e-07,2.14401288704747e-05
"fam131b",1.94043546192037,2.24102495759501,5.32162206463335,1.44374537092714e-07,2.49965722508878e-05
"znf503",1.85195459696367,-0.281254673553629,5.30217099280801,1.58428265436008e-07,2.7059119551969e-05
"znf711",-1.67947460845657,-0.316211657782405,-5.29437629781262,1.64426135112793e-07,2.77090922892079e-05
"sox4",-1.56311830354108,0.876163732836057,-5.27745334449614,1.78218380878248e-07,2.96381857357917e-05
"vit",2.06150591171151,1.18186249844887,5.23433971003489,2.18638743615878e-07,3.58879880592349e-05
"gzmk",2.02552811149328,5.26574265141518,5.20653676226044,2.49293481634102e-07,4.03951322355566e-05
"insrr",1.91058064923462,-1.36652883125366,5.2003810608241,2.56625147815512e-07,4.10567752308893e-05
"plekhg5",-1.83129762352344,2.9151759491233,-5.10878013234656,3.93918295904923e-07,6.22341667742791e-05
"iglv3-1",1.97819782090739,5.42052038960864,5.09626111818568,4.17506601839023e-07,6.51464930943631e-05
"glycine n-phenylacetyltransferase ",-1.7727485678601,-0.278726774596077,-5.07663899702343,4.57261373065068e-07,7.04795913923096e-05
