"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"igf2bp3",-3.70515021313642,1.96928613510739,-19.1597880015182,6.03368294450227e-46,7.62597187355642e-42,"Downregulated"
"slc14a2",4.11196054903483,-2.08951765061425,14.638822272478,5.9586334811183e-33,3.76555842839271e-29,"Upregulated"
"obsl1",-3.37179580374573,2.18589837644091,-14.0909842318994,2.46039758129557e-31,1.03656550099983e-27,"Downregulated"
"sybu",3.76727306661596,-1.72281212885021,12.2301776672744,7.71647019438849e-26,2.4382116696719e-22,"Upregulated"
"il25",3.46856820547844,-2.00814663782847,11.4058859837266,2.02049431589752e-23,5.10740553172576e-20,"Upregulated"
"ighv3-23",2.89159523026983,4.45769294091034,10.9855518972708,3.37980357575604e-22,7.1195562323301e-19,"Upregulated"
"ighe",3.59330329237493,8.86878252670313,10.7194155315967,1.99083725668896e-21,3.59459886961312e-18,"Upregulated"
"ripk4",-3.34155222552338,-2.48351008978652,-10.6599299355391,2.95554156519096e-21,4.66938623030606e-18,"Downregulated"
"iglv1-40",2.75477270600008,8.52864276848564,10.1270184663386,9.95268047872546e-20,1.39768809522901e-16,"Upregulated"
"kcns3",2.32782590145322,2.71894607251903,9.71900284768477,1.42315487402013e-18,1.79872544527404e-15,"Upregulated"
"zmat1",2.85788242455992,-1.37229829754932,9.66200201016721,2.05848987150231e-18,2.36520486235615e-15,"Upregulated"
"sall4",-3.11351376929122,-2.35638418471565,-9.62963231300006,2.53775747438535e-18,2.67289305989637e-15,"Downregulated"
"emx2",3.80702964434811,-2.28342803776667,9.60972507860805,2.88607386696719e-18,2.80592981573833e-15,"Upregulated"
"ig gamma-3 chain c region ",3.22579003875639,8.557945510962,9.51904865997074,5.1793749066015e-18,4.67586567460974e-15,"Upregulated"
"igll5",2.56438968816434,10.4785620278571,9.1940094381428,4.15119945180905e-17,3.49780065809431e-14,"Upregulated"
"slc13a2",2.95216173415055,-1.01007700029021,8.62377702998744,1.50161998019927e-15,1.18618593310866e-12,"Upregulated"
"slurp1",2.68085554954483,1.02733584582816,8.50671358300476,3.10234707950697e-15,2.30650380811109e-12,"Upregulated"
"hoxb7",2.35159684119781,-0.669198492849533,8.47407101461079,3.79533836881745e-15,2.66496009130465e-12,"Upregulated"
"ighv3-74",2.37401059007106,7.79443758300593,8.39410515462768,6.21100086756899e-15,4.13162315606339e-12,"Upregulated"
"ig gamma-2a chain c region secreted form ",2.8775301520212,5.48730672573701,8.35225255186629,8.03119898143268e-15,5.07531619631638e-12,"Upregulated"
"jchain",2.35787816585621,6.37449622056173,8.25813709033014,1.4286155617559e-14,8.59822480239655e-12,"Upregulated"
"tlx2",2.65618804418825,-3.48086704358081,8.20189997075257,2.01278167826443e-14,1.15634307416291e-11,"Upregulated"
"pzp",3.50062876200937,-2.03500632108624,8.16858463271883,2.4648249929718e-14,1.28336248380215e-11,"Upregulated"
"ighg1",2.97716629691335,9.22372664896682,8.16585347757884,2.50606544089654e-14,1.28336248380215e-11,"Upregulated"
"maneal",1.97629848269421,-0.0956946575665842,8.16373681046902,2.53849688227342e-14,1.28336248380215e-11,"Upregulated"
"ppfibp1",-2.34873076202377,0.216930264868273,-8.13079243239378,3.10033657697447e-14,1.50712130755309e-11,"Downregulated"
"ftcd",-2.82037610904207,-1.98440852199015,-8.1201613028089,3.3067124963688e-14,1.54790886080019e-11,"Downregulated"
"dll1",-2.29396225678923,-0.516983470860325,-7.87736253350272,1.42586543267507e-13,6.43625471556436e-11,"Downregulated"
"tspan7",-2.18605304978936,1.3339698688661,-7.74226780941822,3.18673612764945e-13,1.38886751439177e-10,"Downregulated"
"iglv2-11",2.56630831967042,6.52219270770227,7.60843347319303,7.02266552406491e-13,2.95864898528855e-10,"Upregulated"
"ccdc3",-2.67523657686349,-2.0348541213777,-7.41724056651768,2.14589458458484e-12,8.74901988857024e-10,"Downregulated"
"fst",-2.17667460703863,1.93562488803779,-7.40393714770346,2.31810061611091e-12,9.15577302719555e-10,"Downregulated"
"ackr3",-2.34142415897004,-0.176538654555074,-7.17689662058273,8.56012169936114e-12,3.27852661085532e-09,"Downregulated"
"mmp2",-2.05614251002592,0.447544104688415,-7.06672522933094,1.60117638818046e-11,5.95213775594494e-09,"Downregulated"
