"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.17865912321152,4.17045715373083,-5.8903386361798,8.65028032132409e-09,8.83848848573993e-05
"gzmh",2.008068723688,4.72243046858636,5.73309007676394,1.91956525448063e-08,8.83848848573993e-05
"crispld2",-1.76416669891229,5.40369068696095,-5.71539051557508,2.09790849412294e-08,8.83848848573993e-05
"c4bpa",-1.7907493398573,0.432053083696438,-5.60696514927079,3.60110924284252e-08,9.36091502266619e-05
"rab20",-1.62017125593001,5.31145024273211,-5.60131843143906,3.7031865743596e-08,9.36091502266619e-05
"il23r",1.72284966829439,-0.0449104833065205,5.33295195409039,1.36789676927256e-07,0.000288147454447264
"clu",-2.04375768790403,4.53113455011686,-5.13565962468365,3.47636789892985e-07,0.000627683055351063
"prom1",-1.76433381200202,-1.10186478834359,-4.91000163004127,9.80388553517173e-07,0.00154889136598794
"prg2",-1.96554299120481,3.94197707266579,-4.33213407340007,1.19653412115789e-05,0.0168033275081273
"epx",-1.93064788156663,3.28245903078762,-4.30086301156595,1.36109934635001e-05,0.0172029346385177
"fn1",-1.61031231016672,2.70965686468433,-4.27195453798638,1.53235970774323e-05,0.0172694480370352
"prmt8",1.49844587731937,2.18715894620353,4.25538502137207,1.63963427837979e-05,0.0172694480370352
"c4bpb",-1.47734149433303,1.03522278037701,-4.19906686859056,2.06061518949744e-05,0.020033934907737
"pi3",-1.66938819452737,3.07235715336323,-4.16976436337339,2.31872722265395e-05,0.0209331381193737
"crisp2",-1.91561078449532,-0.421723633524967,-4.06550456811051,3.51111086998435e-05,0.0295846201904881
"adrb1",-1.52335597231867,-1.59894993927209,-3.91290971519596,6.35359311244665e-05,0.0501894145926333
"padi4",-1.39325883462758,6.83385063207026,-3.81545753011835,9.19681979932412e-05,0.068375650260975
"gzmk",1.60962162574282,5.26574265141518,3.79611860518437,9.88891977605094e-05,0.0694366983608377
"septin3",1.47183866507693,2.25134618973985,3.7536420189354,0.000115860918629247,0.0770719026607921
"s100a12",-1.51335148217945,7.53422010134044,-3.68400756472848,0.000149775081767195,0.094650362922779
"msc",1.6615747429115,1.19412766814014,3.6559175292223,0.000165947901608544,0.0998769299252568
"tmem35a",1.52848264418716,-1.37717163780158,3.46823434482394,0.000324233763631777,0.186272297206456
"ms4a1",1.30864429761498,4.42407428420797,3.43474990046031,0.00036435868704076,0.193126066789138
"cp",-1.62146538586609,4.57041952416515,-3.43288553943943,0.000366724076504416,0.193126066789138
"vav2",1.32211075028701,3.15186446239148,3.40294581881073,0.000406734431816566,0.199226494786705
"fbxl16",1.65184563132893,-1.5108974384151,3.39909440743388,0.0004121680078765,0.199226494786705
"mmp28",1.67841687674509,0.391587951540638,3.38977592326804,0.00042559659460725,0.199226494786705
"mmp27",-1.44135256375378,8.95495514183878,-3.32554723376649,0.000529880714630379,0.239184369721906
"il20rb",1.36677736639584,1.10644990000168,3.26834834997792,0.000642351017762088,0.27141713750759
"tnfaip6",-1.46518440667087,0.921667475513557,-3.26687172527358,0.000645529116175156,0.27141713750759
"batf3",-1.46804086422038,3.04661492575387,-3.25338698226796,0.000675236223542087,0.27141713750759
"drd2",-1.64689717750991,1.71175190394096,-3.2481176135428,0.00068718635969957,0.27141713750759
"lcn2",-1.29313978519448,4.81920447430937,-3.18168447443167,0.000855698079928458,0.327732364612599
"tnfrsf13c",1.30677141273958,3.73989303188282,3.14625564972072,0.000960510363498633,0.357055602478212
"lvrn",-1.44927068129048,2.46386347237423,-3.13571247723202,0.000993923258377338,0.358919887503748
"klk12",-1.50994543992512,-0.728781056259368,-3.11120985628383,0.00107577132415279,0.377685382387975
"stmnd1",-1.48832890426659,-2.50366966241249,-3.07867264820615,0.00119409553062279,0.407896578690309
"klhl14",1.41963588501028,-0.296898345061981,3.03017243634694,0.00139289604126725,0.463284554357282
"alox15",-1.56700057676805,6.98980269327635,-2.98639215973907,0.00159806963416647,0.517897489903333
"rgs20",-1.52015392973104,-2.75097635516397,-2.94683004787371,0.00180698646654486,0.570962548766513
"gask1b",1.38072518607175,-0.552008813846387,2.9123378280908,0.00200925488038928,0.619389571542443
"abca4",1.47566354893574,-2.79251756623853,2.89915532724636,0.00209188390543698,0.629507635257571
"sh3rf2",1.53965457190156,-1.15285263230534,2.87437946012162,0.00225564036726199,0.663000897716843
"igh-1a",1.34700509814121,5.87469691577111,2.82059433120516,0.00265212590203986,0.76182316536095
"cr2",1.34637423820143,3.3608500818377,2.80895969948417,0.00274583339184197,0.771213071988682
"hla-dpb1",1.43386139500784,-1.43378312498284,2.79463870772773,0.00286530868783509,0.787274706642342
"tspan11",1.33051510204596,4.4921390811884,2.75210434060322,0.00324853938661941,0.873580623563461
"tp73",1.23928223048942,4.42067014710252,2.72215847039902,0.00354561278287145,0.93360416588984
"il25",1.58696144996217,-1.99980459682382,2.68023395644711,0.00400285034212748,1
"gpr55",1.2402985856282,2.57011107603998,2.66196198558266,0.00421828077260395,1
"cobll1",1.29124122798448,0.894889694653851,2.65288002277681,0.00432920052402301,1
"muc5b",-1.38775758118084,-1.94807788565209,-2.51225192373835,0.00641582083240648,1
"c3",-1.23050677772135,7.18892277698496,-2.44709454165488,0.00765681276458972,1
"ppp1r3c",-1.30821324640514,1.15017823715609,-2.43479903351079,0.00791355435457633,1
"slc16a9",1.33579530809042,-0.974530201234736,2.32283783821789,0.0106252373823268,1
"chit1",-1.49512234837324,0.545565805312116,-2.30167704207866,0.0112208444771258,1
"ighe",1.56285412417814,8.88776656682691,2.2753759967178,0.0120017592251416,1
"fcrl1",1.22164539587564,4.02056306810304,2.26462487717881,0.0123344069313787,1
"gramd1c",1.27840407609308,-0.322808709656588,2.21422134076819,0.0140034768561251,1
"sertad4",1.37997388232459,-1.00689594490332,2.19033223377749,0.0148608622489363,1
"ighg1",1.47539477742325,9.2270230526203,2.12023831984781,0.0176440260309042,1
"mpo",-1.32125600212059,0.345224450594196,-2.10826456425903,0.0181617858982629,1
"lrrn2",-1.42526098285218,0.738008650754152,-2.05907361590025,0.0204280197408478,1
"cd8b",1.17984786824168,5.87343744690045,2.05811088137429,0.0204746810127357,1
"ig delta chain c region membrane-bound form ",1.21227321563503,3.04529332482131,2.02268968411744,0.0222558614735593,1
"tp63",1.35593024362772,-2.03699496817782,2.00936236536542,0.0229593407657206,1
"setbp1",1.27022526153233,0.196488243397689,2.00204261849566,0.0233536814314307,1
"ig gamma-3 chain c region ",1.45380295260463,8.55564122443763,1.97946020345676,0.0246066602909526,1
"ig gamma-2a chain c region secreted form ",1.41408099349645,5.50804614228105,1.94628499068311,0.026550186041952,1
"capsl",1.21804543493434,-0.960888467744482,1.90605991879858,0.0290785659722201,1
"hla-doa",1.12490499765589,3.879780509526,1.90461224511725,0.0291731972087727,1
"fcer2",1.18522307165223,4.19849975480837,1.89914060817661,0.0295331982036698,1
"cd79b",1.16050413570895,6.65612557027231,1.80572796775077,0.0362745641038427,1
"apbb2",1.29027075260617,-2.15881829190642,1.76046691158441,0.0399715831707695,1
"patl2",1.22839394329928,-1.39684272967993,1.75935696618209,0.0400659867852935,1
"rem1",1.32023761553086,-1.89615470114165,1.75333914660796,0.040581000854859,1
"jakmip1",1.20074729286941,0.576839525871281,1.71225902179493,0.0442430435111661,1
"ccl4",1.22597951085512,3.83895146610806,1.68666862259581,0.0466569697968721,1
"magea11",-1.23023197829956,-1.75540992057597,-1.68420219192106,0.046895149665964,1
"tjp3",-1.18781054850753,-0.223331996765398,-1.65868906343918,0.0494170148062217,1
"atp1a3",1.28323548322006,-0.38422715965828,1.64877940388843,0.0504255013416464,1
"inhba",-1.27447193934518,-1.09610287925409,-1.64287683199699,0.051034006890421,1
"c1ql2",-1.33115444341597,-2.51025656536752,-1.63832846190598,0.0515069127553715,1
"padi3",-1.37681335439057,1.73049119630785,-1.63118622303784,0.0522565914237852,1
"slurp1",1.30074452253772,1.03949033761702,1.60913644599128,0.0546262484418164,1
"sel1l3",-1.16519933368741,3.40577779655964,-1.59409365418007,0.0562914585940177,1
"plekhh1",-1.16645187848897,0.212126923831836,-1.55250480943333,0.0611056575065217,1
"olfr6",1.26303550652405,-0.254085605849216,1.54725852591497,0.0617353318932613,1
"cxcr5",1.11133466506628,4.06879171665923,1.53885821146665,0.0627541820233001,1
"xkrx",1.21656687251612,-1.39858305934395,1.52113788521509,0.0649467127174517,1
"bach2",1.17857277799588,1.87469278193228,1.50494803273775,0.067001856478106,1
"fcrl5",1.11948855749788,3.29755192899112,1.4853127388259,0.0695619918802139,1
"arl14epl",-1.27542616920043,-3.5395143780537,-1.47957807959674,0.0703238514079146,1
"aicda",1.21843419424217,-2.89979344330906,1.42158350290212,0.0783960884575388,1
"gpr84",-1.17414534750246,0.646387763775696,-1.32535830968225,0.0933246508757869,1
"matn4",1.20202942629138,-2.98623623160985,1.30335020536891,0.0970189047452732,1
"pou2af1",1.11401579570298,4.76247043213642,1.27028721452838,0.102770518847993,1
"iglv3-1",1.20304471627441,5.42052038960864,1.22191910426695,0.111628622533407,1
"procr",-1.17650243522255,1.18904086045202,-1.21590091681763,0.112768189759354,1
