"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.1993529428683,4.16429582656718,-5.83596165912737,1.18232070338004e-08,0.000149433513700203
"crispld2",-1.75002996463611,5.39446852322281,-5.54124033318574,5.12875284679511e-08,0.000255784245581083
"gzmh",1.98345156435206,4.72779461186275,5.50670046250499,6.07130893854931e-08,0.000255784245581083
"c4bpa",-1.75265366391194,0.431794892057998,-5.31018115588449,1.56439162548514e-07,0.000444451124380469
"rab20",-1.59690704476467,5.32029304584775,-5.25520535425188,2.03020287152906e-07,0.000444451124380469
"il23r",1.72696088745165,-0.0576997976409934,5.24705030163459,2.10990327263456e-07,0.000444451124380469
"clu",-2.03391757400423,4.52490095467005,-4.95035158153453,8.32758083013331e-07,0.00150360420160078
"prom1",-1.76949255807731,-1.09834235621437,-4.81597849601297,1.52262363812785e-06,0.00240555502028723
"prg2",-2.02239407714349,3.94583582325268,-4.46920027637793,6.84073384702326e-06,0.00960667056583633
"epx",-1.98600408492453,3.28120647195365,-4.43568327437638,7.87600629246047e-06,0.00995448435304079
"prmt8",1.47915970895366,2.19594525652103,4.10500039616467,3.03384424589676e-05,0.0308527779895176
"crisp2",-1.94939239214564,-0.435925094554338,-4.09917013987805,3.10469761656596e-05,0.0308527779895176
"c4bpb",-1.46531634454756,1.02790934642361,-4.08860902046822,3.23708374617219e-05,0.0308527779895176
"fn1",-1.59303612173309,2.7020688514445,-4.07486061115864,3.41750844096247e-05,0.0308527779895176
"pi3",-1.61749608039687,3.09634241086635,-3.77266778335414,0.000108757825921127,0.0916393441211417
"adrb1",-1.47318365212866,-1.57610713784297,-3.51721635400335,0.000274538996410358,0.216868648476907
"fbxl16",1.68004207064578,-1.51259429087902,3.49392478797727,0.000297995343344958,0.221550773208054
"gzmk",1.56356240329772,5.27070434600318,3.47448699522278,0.000318997076758375,0.223989114063839
"s100a12",-1.4900776913922,7.56432982049926,-3.45432747366917,0.000342239561213016,0.227661358640595
"septin3",1.43201251317905,2.25045163859631,3.39212102520321,0.000424355023093927,0.268171156844207
"msc",1.62302808032915,1.18844718706122,3.36896851934751,0.00045937021667004,0.276475246118697
"padi4",-1.34095712803513,6.85092225736033,-3.34146196752,0.000504474774679786,0.289820758053537
"tmem35a",1.50037342145496,-1.39193484961063,3.19888311282286,0.000812117525404504,0.446276234938588
"ms4a1",1.28843716107605,4.41236116052183,3.1229841177417,0.00103967063045797,0.527594923987101
"mmp28",1.64106917516902,0.381058946907242,3.12181859678793,0.0010435851807641,0.527594923987101
"vav2",1.29850102479896,3.14107631867982,3.08494664033022,0.00117468828734769,0.562683043314502
"il20rb",1.34502203362859,1.10705314610834,3.07773912339139,0.00120202881315702,0.562683043314502
"tnfaip6",-1.44034795677811,0.913650292936249,-3.02926122795772,0.00140172284744018,0.632727681028444
"batf3",-1.44449276167329,3.050515089838,-3.00635181682087,0.00150634896359685,0.641551348433013
"drd2",-1.61445530003076,1.73934720083159,-2.99773788880445,0.00154751235489909,0.641551348433013
"mmp27",-1.40384039607381,8.96451437416475,-2.99016682699832,0.00158454336710673,0.641551348433013
