"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.23717432681057,4.16429582656718,-5.96983441155671,6.02154460167896e-09,7.61063022206203e-05
"gzmh",2.03234412476904,4.72779461186275,5.7832959074263,1.55316283498593e-08,9.81521253569359e-05
"crispld2",-1.72092455523958,5.39446852322281,-5.3129261319763,1.55215150220372e-07,0.000532460057224342
"c4bpa",-1.75950597049097,0.431794892057998,-5.29562257141139,1.68513349861332e-07,0.000532460057224342
"il23r",1.71910990663346,-0.0576997976409934,5.1173142472362,3.88956388695978e-07,0.000983203959345693
"rab20",-1.55272521378924,5.32029304584775,-4.97767666902366,7.38595906457908e-07,0.00155585227695358
"prom1",-1.79691360446922,-1.09834235621437,-4.94361644506257,8.62042830181567e-07,0.00155647990438069
"epx",-2.06994141069426,3.28120647195365,-4.85942581139568,1.25909892098682e-06,0.00190007608743168
"prg2",-2.10689214009945,3.94583582325268,-4.84332432666007,1.35300931931997e-06,0.00190007608743168
"clu",-2.00203485826855,4.52490095467005,-4.77982832974962,1.79385407350798e-06,0.00226725216350674
"prmt8",1.48694049184258,2.19594525652103,4.10975752961728,2.9834179489915e-05,0.0342794722339124
"crisp2",-1.94584942626189,-0.435925094554338,-4.03060981293086,4.07356648492618e-05,0.042904839002485
"c4bpb",-1.45876133042598,1.02790934642361,-3.96734027916726,5.20828746709444e-05,0.050636573305082
"gzmk",1.62948206107371,5.27070434600318,3.90550301741141,6.60364071093258e-05,0.0572145058020795
"fn1",-1.57308311486121,2.7020688514445,-3.89819626428429,6.79023330193206e-05,0.0572145058020795
"pi3",-1.58737924265261,3.09634241086635,-3.56080006379144,0.000235528683030227,0.18605293905119
"fbxl16",1.68756388747536,-1.51259429087902,3.47768311123789,0.000315815172735565,0.234799292247342
"s100a12",-1.49635203466112,7.56432982049926,-3.44596981041744,0.000352726704714801,0.247672934493909
"septin3",1.43885060044526,2.25045163859631,3.37112873871255,0.000456463567240342,0.303644369807931
"adrb1",-1.455260958223,-1.57610713784297,-3.35422963610856,0.000483538034651277,0.305571860997875
"padi4",-1.34483740888365,6.85092225736033,-3.32731824806046,0.000529766941577489,0.318844017837995
"msc",1.6146679056567,1.18844718706122,3.26266799254196,0.000658198961204283,0.378135303211861
"tmem35a",1.50182694562852,-1.39193484961063,3.13977683997214,0.000985547343233824,0.541579690049231
"cp",-1.5705982081067,4.57882708418207,-3.07893138942247,0.00119836297624603,0.584986904047901
"ms4a1",1.28963754238297,4.41236116052183,3.07758030150095,0.00120353730437301,0.584986904047901
"vav2",1.30307987583672,3.14107631867982,3.06764761165149,0.00124221457411574,0.584986904047901
"klk12",-1.51607845305797,-0.722089512775014,-3.06293641144273,0.00126095771761056,0.584986904047901
"mmp28",1.63672945813026,0.381058946907242,3.05274766961187,0.00130238801320799,0.584986904047901
"il20rb",1.34672472500525,1.10705314610834,3.04322424692504,0.0013422438656056,0.584986904047901
"sh3rf2",1.58306016171388,-1.16618850019251,2.97090912443268,0.00168354569284498,0.70927780039559
"abca4",1.49970291258504,-2.81282222590963,2.95817895161437,0.00175129917359726,0.714021621132122
"tnfaip6",-1.43030585678475,0.913650292936249,-2.92428270937976,0.00194408319224107,0.767852108335465
"drd2",-1.59774144208768,1.73934720083159,-2.8921754328012,0.00214442571809661,0.821315050031
"alox15",-1.56009444358918,6.99395069756775,-2.85374659878252,0.00240894278949552,0.895489056365703
"lcn2",-1.27357945477269,4.82762366595185,-2.84271430890264,0.00249020106870653,0.899247180210908
"tspan11",1.3404483239179,4.4923743821382,2.82541048187418,0.00262269655413834,0.920785048548734
"tnfrsf13c",1.2843141276035,3.73345797487317,2.79656372477545,0.00285791605765633,0.967531618266413
"gask1b",1.3739898144453,-0.556681504204706,2.78423082259113,0.00296421019429158,0.967531618266413
"mmp27",-1.3795586035972,8.96451437416475,-2.78180906914077,0.00298549989021205,0.967531618266413
"rgs20",-1.49711630267701,-2.74825915514922,-2.7370898494135,0.00340442222448243,1
"batf3",-1.39488239985013,3.050515089838,-2.73703994948592,0.00340491803373283,1
"igh-1a",1.34368137745554,5.86276801939234,2.70848474570691,0.00369961279576902,1
"lvrn",-1.38490031754924,2.47279330618544,-2.612039798376,0.00487317271283951,1
"klhl14",1.36755980842949,-0.302006476852091,2.59929001606364,0.00505110893481257,1
"hla-dpb1",1.40749417962949,-1.41799733479646,2.58603247046656,0.00524229664783758,1
"stmnd1",-1.42180125213321,-2.49248622021048,-2.58089197932708,0.00531815725204585,1
"gpr55",1.23221427140989,2.56096506417358,2.50199037433113,0.00661256698166369,1
"ighg1",1.55963216778491,9.22372664896682,2.49673378426499,0.0067080373058528,1
"ighe",1.60435041452912,8.86878252670313,2.44767368441779,0.00766000107428529,1
"il25",1.55248158260053,-2.00814663782847,2.38941210531695,0.00894480259882695,1
"cr2",1.29952991760946,3.35125161582384,2.37725830206809,0.00923565971164492,1
"tp73",1.21538310591752,4.41559931832892,2.35687388890832,0.00974225004907914,1
"ig gamma-3 chain c region ",1.53456314537282,8.557945510962,2.32510218769525,0.0105806749906568,1
"chit1",-1.51189661458416,0.55306139888646,-2.30325992166391,0.0111932267493556,1
"slc16a9",1.332015030396,-0.990798729193144,2.19354868418156,0.0147628852721186,1
"ig gamma-2a chain c region secreted form ",1.47365388325922,5.48730672573701,2.18241427951934,0.01517516788243,1
"cobll1",1.24307242592072,0.888231077652755,2.17439162491698,0.0154783769178633,1
"mpo",-1.33719971360867,0.361076077184418,-2.1318278094573,0.017176226492447,1
