"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.62466043034118,1.96928613510739,-18.9657652776008,3.9834583200397e-45,5.03469297069818e-41
"slc14a2",4.02944603034462,-2.08951765061425,14.5684089510684,1.37038787420332e-32,8.6601661710279e-29
"obsl1",-3.35241712161226,2.18589837644091,-13.584008159983,1.04378550684968e-29,4.39746834035769e-26
"ighe",3.58983321917584,8.86878252670313,13.0120745241448,4.96399216698827e-28,1.56849742496412e-24
"iglv1-40",2.72419496717337,8.52864276848564,11.8926586695367,9.35289335883077e-25,2.36422438324524e-21
"ighv3-23",2.78663430272683,4.45769294091034,11.8137439826232,1.58825291783777e-24,3.34565477142526e-21
"sybu",3.73249639565061,-1.72281212885021,11.4081007731747,2.39907495713911e-23,4.3317011976116e-20
"ig gamma-3 chain c region ",3.23736546435649,8.557945510962,11.3402665691943,3.77281611404954e-23,5.96057785818401e-20
"igll5",2.54626267630008,10.4785620278571,10.7889324993249,1.47026126120704e-21,2.06473689782175e-18
"ripk4",-3.33382262383295,-2.48351008978652,-10.3786873051574,2.19184378048957e-20,2.77027135416077e-17
"il25",3.11009853447989,-2.00814663782847,10.3119583605837,3.39389996131033e-20,3.89959105554557e-17
"sall4",-3.12195118515484,-2.35638418471565,-9.99020251585587,2.76702208233095e-19,2.91436600821507e-16
"ighg1",3.01654092182724,9.22372664896682,9.90939526365984,4.67400387534871e-19,4.54421038311787e-16
"zmat1",2.81851671617467,-1.37229829754932,9.72955758379961,1.494601814133e-18,1.34930516634479e-15
"kcns3",2.25185500464238,2.71894607251903,9.63782954431133,2.69766411915916e-18,2.27305178680351e-15
"ighv3-74",2.3428128684592,7.79443758300593,9.45433575074854,8.74577598709362e-18,6.90861641880477e-15
"emx2",3.75610211050534,-2.28342803776667,9.1472995003834,6.15782289909962e-17,4.57816021304236e-14
"ig gamma-2a chain c region secreted form ",2.78168948177637,5.48730672573701,8.94363478069795,2.2200948560555e-16,1.5588766047603e-13
"jchain",2.32522417953857,6.37449622056173,8.66875026994822,1.23242405213365e-15,8.19821452364064e-13
"iglv2-11",2.53721812735447,6.52219270770227,8.39923407010808,6.4832664973596e-15,4.0971002630064e-12
"slc13a2",2.9008662259033,-1.01007700029021,8.24253982419652,1.68536461946307e-14,1.01434873454256e-11
"tspan7",-2.21044859783411,1.3339698688661,-7.93233343721622,1.09159275999347e-13,6.27120040616249e-11
"hoxb7",2.3002800413233,-0.669198492849533,7.89169772355451,1.39095885498164e-13,7.43283736764069e-11
"ftcd",-2.83978143682035,-1.98440852199015,-7.88924740280559,1.41140989653752e-13,7.43283736764069e-11
"pzp",3.44675493003949,-2.03500632108624,7.87037467621812,1.57923174778276e-13,7.98396402409052e-11
"maneal",1.92008506527494,-0.0956946575665842,7.76935404123844,2.87541516825046e-13,1.35428166243349e-10
"tlx2",2.63365732986498,-3.48086704358081,7.76831858492832,2.89307737049641e-13,1.35428166243349e-10
