"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.63561828977748,1.96928613510739,-21.2187237067445,1.28401506750327e-50,1.62286664381738e-46
"slc14a2",3.9827704896956,-2.08951765061425,15.8622850293148,5.02216957257244e-36,3.17376006138715e-32
"obsl1",-3.42073918359632,2.18589837644091,-15.5820731131512,3.14970621695624e-35,1.32697122920367e-31
"ighe",3.53874893672784,8.86878252670313,14.3543993983605,1.04121222467344e-31,3.28997032691191e-28
"ighv3-23",2.7434329839709,4.45769294091034,13.1367967835425,3.42147066584866e-28,8.64879354913225e-25
"iglv1-40",2.68793594989357,8.52864276848564,12.9415426123755,1.25588518798208e-27,2.64552214848426e-24
"sybu",3.71989435455062,-1.72281212885021,12.5571680927678,1.62281052447052e-26,2.93010031696899e-23
"ig gamma-3 chain c region ",3.17841674334807,8.557945510962,12.4452155000032,3.41768580773865e-26,5.3995163655011e-23
"igll5",2.50026991891355,10.4785620278571,11.7172026005796,4.28942317623948e-24,6.02377994716565e-21
"il25",3.12712266389043,-2.00814663782847,11.6053423707038,8.99128895186787e-24,1.13640901062658e-20
"ripk4",-3.29578814742538,-2.48351008978652,-11.3221752457948,5.83160806264836e-23,6.70051766398296e-20
"sall4",-3.04977602031192,-2.35638418471565,-11.0653154001555,3.16129304511221e-22,3.32963189976444e-19
"ighg1",2.9615527840759,9.22372664896682,10.8685502002162,1.1490813217015e-21,1.11717221730655e-18
"zmat1",2.78875560185999,-1.37229829754932,10.8066350354968,1.72325710558088e-21,1.55573189695977e-18
"kcns3",2.2352905304936,2.71894607251903,10.6285038279702,5.51626395388398e-21,4.64800400754264e-18
"ighv3-74",2.30839990674198,7.79443758300593,10.3090381242963,4.40068225245764e-20,3.47626393680076e-17
"ig gamma-2a chain c region secreted form ",2.75810347441636,5.48730672573701,9.96663086387706,4.00948943400173e-19,2.98093746802046e-16
"emx2",3.75080931246935,-2.28342803776667,9.81379194617316,1.06842821314655e-18,7.50214676997737e-16
"jchain",2.29317383547543,6.37449622056173,9.38754349878106,1.6069323866385e-17,1.06894833866968e-14
"iglv2-11",2.46344608847684,6.52219270770227,9.25144602354759,3.78911496479823e-17,2.39453120200424e-14
"slc13a2",2.89067376889545,-1.01007700029021,9.14968324347176,7.17705959291537e-17,4.31956458070749e-14
"maneal",1.93869652201052,-0.0956946575665842,8.7935472812978,6.58422956815166e-16,3.78263988690313e-13
"hoxb7",2.32805404378392,-0.669198492849533,8.78480581612573,6.94961298178975e-16,3.81896341203655e-13
"ftcd",-2.82086137241742,-1.98440852199015,-8.76854258081625,7.68380779763105e-16,3.89662287651151e-13
"tlx2",2.62667173735593,-3.48086704358081,8.76804306136042,7.70753793122777e-16,3.89662287651151e-13
"dll1",-2.29173683984905,-0.516983470860325,-8.72373061503395,1.01298399931627e-15,4.92427106436858e-13
"pzp",3.38980885764857,-2.03500632108624,8.57921868442018,2.46092243180733e-15,1.15198513391158e-12
"tspan7",-2.15826888113968,1.3339698688661,-8.38529307708543,8.02573768386385e-15,3.6227606637984e-12
"ppfibp1",-2.23299037481142,0.216930264868273,-8.18880174447467,2.62919975372912e-14,1.14587778232353e-11
"fst",-2.156463638102,1.93562488803779,-8.1128577974816,4.14605728233848e-14,1.7467339330492e-11
