"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.21274418607714,4.16429582656718,-5.59025207820082,4.13322457033378e-08,0.00041565155405753
"c4bpa",-1.76785805977236,0.431794892057998,-5.43808168870694,8.66402064923373e-08,0.00041565155405753
"crispld2",-1.75437205346083,5.39446852322281,-5.41108325664418,9.8659281760629e-08,0.00041565155405753
"clu",-2.12156722561477,4.52490095467005,-5.31541765608202,1.55792209229016e-07,0.000460056364004147
"gzmh",1.94915007937749,4.72779461186275,5.28259765421461,1.81998719837071e-07,0.000460056364004147
"rab20",-1.57113811172263,5.32029304584775,-4.9579840787015,8.17604152610942e-07,0.00153281035149816
"il23r",1.68589284949315,-0.0576997976409934,4.94967347875834,8.4893365459982e-07,0.00153281035149816
"prom1",-1.79729630301477,-1.09834235621437,-4.8941991545215,1.08992235507387e-06,0.00172194108072233
"drd2",-1.89187977177254,1.73934720083159,-4.42408124963669,8.3584760311063e-06,0.0117380865063503
"prg2",-2.01254159023631,3.94583582325268,-4.21025973498984,2.00968869100053e-05,0.0254004553655557
"epx",-1.95805652977352,3.28120647195365,-4.15697810888173,2.48839746204234e-05,0.0285916868388664
"c4bpb",-1.46557193183738,1.02790934642361,-4.03194027304969,4.07617865291817e-05,0.0429323516618606
"gzmk",1.49696776591563,5.27070434600318,3.76728661584798,0.000111636610360555,0.101558892504014
"batf3",-1.53049400512284,3.050515089838,-3.7652217377192,0.000112495015037282,0.101558892504014
"fn1",-1.53718948834244,2.7020688514445,-3.74026607862698,0.00012337590487854,0.103956537450658
"ighg1",1.57999840980433,9.22372664896682,3.7105992721119,0.000137605923097159,0.108700078876562
"ighe",1.55878459175993,8.86878252670313,3.6683284500778,0.000160581522106278,0.115090885911638
"pi3",-1.62482232773305,3.09634241086635,-3.65088812436771,0.000171078276033837,0.115090885911638
"crisp2",-1.82147136360164,-0.435925094554338,-3.64778222474208,0.000173014228366257,0.115090885911638
"s100a12",-1.51306982833141,7.56432982049926,-3.5224779222424,0.00027078636308786,0.171123442153373
"prmt8",1.41373773001213,2.19594525652103,3.49456570025256,0.000298720120856408,0.179786838452578
"rgs20",-1.61437313891049,-2.74825915514922,-3.39424853425173,0.000423046883906839,0.237802968187268
"ig gamma-3 chain c region ",1.51529476586292,8.557945510962,3.38763654947571,0.000432745333357636,0.237802968187268
"adrb1",-1.40586223219222,-1.57610713784297,-3.11584907020591,0.00106716742870238,0.561997047140392
"padi4",-1.33643772408039,6.85092225736033,-3.09445804458474,0.00114295531909717,0.577832491122763
"fbxl16",1.59963242973462,-1.51259429087902,3.0537168284098,0.00130121827801645,0.632542223686533
"alox15",-1.60405763640308,6.99395069756775,-2.96065492736907,0.00174131802276614,0.796190118587893
"cp",-1.57308693570017,4.57882708418207,-2.95649705436395,0.00176385183325113,0.796190118587893
"tnfaip6",-1.41842868953762,0.913650292936249,-2.94214155013741,0.00184372417765813,0.80354585798004
"lcn2",-1.28807533547279,4.82762366595185,-2.86971746255655,0.00229960204106016,0.968822339898646
"mmp27",-1.399139962899,8.96451437416475,-2.84947732595187,0.00244425646377679,0.996547014376606
"gask1b",1.36088865775827,-0.556681504204706,2.81171619419481,0.00273651519510768,1
"klk12",-1.47018559078136,-0.722089512775014,-2.79813173005488,0.00284920298154812,1
"igh-1a",1.25809767809262,5.86276801939234,2.73925984445338,0.00338794730029747,1
"lvrn",-1.39713089643158,2.47279330618544,-2.66453336868473,0.00420409904626121,1
"ms4a1",1.22986277647195,4.41236116052183,2.58990276262498,0.00519215867659988,1
"il20rb",1.28471050937435,1.10705314610834,2.55089566702854,0.00578747979399465,1
"vav2",1.21546822853222,3.14107631867982,2.54549487716755,0.00587454973135401,1
"klhl14",1.34650419825593,-0.302006476852091,2.54504014002061,0.00588193407347173,1
"septin3",1.27855440878188,2.25045163859631,2.47473118048588,0.00712854656358473,1
"stmnd1",-1.40911414067847,-2.49248622021048,-2.4624084085446,0.00736976635778443,1
"abca4",1.38454196103232,-2.81282222590963,2.46124383861396,0.00739293391526742,1
"cr2",1.30393675413078,3.35125161582384,2.45854261876724,0.00744692037863152,1
"tmem35a",1.36956252790561,-1.39193484961063,2.45501093722974,0.00751803259072135,1
"hla-dpb1",1.39242635769413,-1.41799733479646,2.43214825941071,0.00799314870893719,1
"procr",-1.28920746799852,1.18848893524597,-2.26303027079942,0.0124126824730562,1
"lrrn2",-1.50149560689524,0.726342251177151,-2.26034156280855,0.012497498764126,1
"clec4e",-1.37391866937296,2.19482086368227,-2.1829146004885,0.015166759017145,1
"tnfrsf13c",1.20365087817762,3.73345797487317,2.13398708550976,0.0170971736488246,1
"gpr55",1.19671371680302,2.56096506417358,2.09474689721097,0.0187949599726043,1
"atp1a3",1.29469983604341,-0.366347942882008,2.08940193509253,0.0190370571100488,1
"mpo",-1.34227190849883,0.361076077184418,-2.07824302651282,0.0195511233158383,1
"tspan11",1.23675294192146,4.4923743821382,2.06378623308696,0.0202347548480852,1
"chit1",-1.47891457801832,0.55306139888646,-2.03860548632002,0.0214743239192538,1
"muc5b",-1.31590506284284,-1.91915374862029,-2.03320903171568,0.021748236288876,1
"cobll1",1.20286123771074,0.888231077652755,1.98481895197969,0.0243400828169322,1
"tp73",1.16445244403047,4.41559931832892,1.91442711893066,0.0285739774110008,1
"slc16a9",1.27038213630547,-0.990798729193144,1.91089140885779,0.0288020067017492,1
"capsl",1.21618879191361,-0.957208016755644,1.88824003216707,0.0302993304568779,1
"magea11",-1.26704581838391,-1.75640521106797,-1.82154702072654,0.0350899412763995,1
"cd8b",1.16854317693101,5.87150905539228,1.80594033605859,0.0362971923007775,1
"setbp1",1.23509596090711,0.189332950912292,1.80394574652002,0.0364539253267106,1
"c1ql2",-1.40084981279738,-2.47828324255088,-1.80209511242864,0.0365998454936919,1
"inhba",-1.31770610207141,-1.0890849997011,-1.79667098119758,0.0370303092255292,1
"sh3rf2",1.32236186450499,-1.16618850019251,1.75037023250764,0.0408771228355745,1
"ig gamma-2a chain c region secreted form ",1.28120761417317,5.48730672573701,1.71749711724912,0.0438020853995787,1
"tp63",1.29936227486823,-2.05753789777183,1.6245064799,0.0530067057850342,1
"ppp1r3c",-1.21400757670916,1.16312260171823,-1.62054747660367,0.0534305625010574,1
"gramd1c",1.1920227535855,-0.342449439847895,1.60718120918658,0.0548816115353788,1
"fcrl1",1.16069304730688,4.01566886579864,1.56046399195349,0.0602012938018273,1
"c3",-1.14225020499682,7.20077854658065,-1.46103286210461,0.0728728628109095,1
"vit",-1.22079629424497,1.17169599270638,-1.46087345734935,0.0728947152640951,1
"gpr84",-1.19917814256698,0.647262543760995,-1.43068391871674,0.0771252282832013,1
"sel1l3",-1.15391559242042,3.40775157790152,-1.42494236219897,0.0779506839638003,1
"patl2",1.18561143634229,-1.4063550226773,1.40715408860935,0.0805510090896067,1
"sertad4",1.22823556942045,-1.03083090631424,1.3649384350007,0.0869860350707968,1
"ig delta chain c region membrane-bound form ",1.15018955766825,3.04417229905667,1.34020034222684,0.0909327421474716,1
"popdc3",-1.29472941681978,-4.17025537738524,-1.33471710545945,0.0918253984514417,1
"rxrg",-1.18075409492674,3.19946012851305,-1.28788659298238,0.0997173982415658,1
"xkrx",1.19085949911245,-1.41332205561531,1.28255238555607,0.100647113725258,1
"cd79b",1.10391991793469,6.65075688209231,1.2581555467708,0.104980634039863,1
"plekhh1",-1.13556954499458,0.216825339268885,-1.24149823607828,0.10801666002162,1
"tjp3",-1.14673979926312,-0.206221064908444,-1.22928986860212,0.110281942069236,1
"arl14epl",-1.24755697932895,-3.52438374242414,-1.22023708924691,0.111983743737797,1
"matn4",1.1964870826726,-2.98038025344563,1.19127491919864,0.117555214840813,1
"apbb2",1.17789599127652,-2.16028775460079,1.15752519727342,0.124293959434045,1
"rem1",1.22248966887011,-1.89436906975625,1.11082618937912,0.134060657146313,1
