"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.20154891553149,4.16429582656718,-5.31603695820002,1.59700333634379e-07,0.00118881459088337
"c4bpa",-1.77354841235276,0.431794892057998,-5.17671421892074,3.06868400351119e-07,0.00118881459088337
"crispld2",-1.74865388844783,5.39446852322281,-5.15548901796371,3.38626616230474e-07,0.00118881459088337
"gzmh",1.94906726106831,4.72779461186275,5.13272387213237,3.7623691459241e-07,0.00118881459088337
"clu",-2.10096494050112,4.52490095467005,-4.97297491613038,7.80834584936818e-07,0.00197379366380329
"rab20",-1.56802775765015,5.32029304584775,-4.76422550596353,1.97918947115682e-06,0.00416916262099185
"prom1",-1.78706115745411,-1.09834235621437,-4.59011118729133,4.20825890351253e-06,0.00696625530039312
"il23r",1.68007491881854,-0.0576997976409934,4.5791835065685,4.40937118467797e-06,0.00696625530039312
"drd2",-1.89335393647605,1.73934720083159,-4.23110896522222,1.87048152931687e-05,0.0262677956100399
"prg2",-1.9865101542665,3.94583582325268,-3.97796845267897,5.07670964683394e-05,0.0641645332263342
"epx",-1.94217747895624,3.28120647195365,-3.92685867265418,6.17648782168157e-05,0.0663680042375814
"c4bpb",-1.47260932458363,1.02790934642361,-3.92161821046622,6.30125841325245e-05,0.0663680042375814
"gzmk",1.49770787744467,5.27070434600318,3.67027002815834,0.000160643417235922,0.15618247311114
"crisp2",-1.81853578402727,-0.435925094554338,-3.58378676207653,0.000219305846585377,0.197986185356612
"ighg1",1.57888074436027,9.22372664896682,3.5403945895658,0.000255840221720657,0.208167850845408
"batf3",-1.52073345711326,3.050515089838,-3.53201522644339,0.00026352445711896,0.208167850845408
"fn1",-1.53524234122941,2.7020688514445,-3.51296514775668,0.000281808819978937,0.209516569159634
"ighe",1.55195574552289,8.86878252670313,3.45451604965542,0.000345623419213474,0.242685244191061
"s100a12",-1.50914592266622,7.56432982049926,-3.37668174725036,0.000451767008086346,0.300520169221228
"prmt8",1.40412525636587,2.19594525652103,3.30718740868551,0.000571576899768803,0.361208021808895
"pi3",-1.59664897506405,3.09634241086635,-3.25481950125254,0.000680768675220546,0.40972548981488
"ig gamma-3 chain c region ",1.50862125596739,8.557945510962,3.19307011410725,0.000834355529175883,0.461378867929924
"rgs20",-1.60279639289612,-2.74825915514922,-3.19115365895413,0.000839600756577914,0.461378867929924
"padi4",-1.33333542243014,6.85092225736033,-3.02792244872472,0.00141693948973715,0.746195758782829
"fbxl16",1.61124260440556,-1.51259429087902,3.01462852573294,0.00147728652011756,0.746856973110635
"adrb1",-1.39489648299229,-1.57610713784297,-2.88007841818221,0.00223566451732716,1
"alox15",-1.60653859760718,6.99395069756775,-2.83092183359903,0.00259180446008137,1
"lcn2",-1.29204310681515,4.82762366595185,-2.8073810409733,0.00278004063736737,1
"tnfaip6",-1.42349967879791,0.913650292936249,-2.77393484604942,0.00306890977745985,1
"mmp27",-1.38975877709025,8.96451437416475,-2.75646946224431,0.00323035422842476,1
"gask1b",1.3604983445119,-0.556681504204706,2.74835870666501,0.00330791600881146,1
