"","logFC","AveExpr","t","P.Value","adj.P.Val"
"cebpb",-1.63912943528115,8.10214913690572,-10.8120351522526,8.19749353230415e-22,1.03608120754792e-17
"rab20",-2.06002896662208,5.31667303980678,-10.6982358844116,1.76177641120549e-21,1.11335460306131e-17
"dusp1",-1.5550509019145,10.0698737675903,-10.5327333593089,5.34237352569535e-21,2.25074196637545e-17
"hsf4",-1.52266463363593,2.80585730755402,-10.1351644322938,7.53944436285799e-20,2.38227593255405e-16
"nfkbia",-1.2252276676689,8.53955207838188,-9.83663767855296,5.40132249980043e-19,1.36534630149955e-15
"drd2",-2.66866469977804,1.70531451094982,-9.62243646108793,2.19448954841083e-18,4.62269223372742e-15
"batf3",-2.13434184741873,3.07278114186352,-9.42045569425703,8.15573534160608e-18,1.47257627117942e-14
"clu",-2.8713345234595,4.53564588906068,-9.3660095930135,1.15998564332447e-17,1.83263231824725e-14
"cebpd",-1.40230638242104,8.08576601824168,-9.16974505010211,4.10550937001731e-17,5.76550365862765e-14
"nfil3",-1.17854763716413,8.09509961954173,-9.07936692137025,7.32372123697468e-17,9.2564512714123e-14
"ly96",-1.62999175788768,6.07460664801757,-9.03138350300791,9.94976881929428e-17,1.14322843733691e-13
"sel1l3",-1.65662999746056,3.40481082980176,-8.64579043194195,1.14114283255369e-15,1.20190868838717e-12
"sema6b",-1.45822447206891,5.42717156881849,-8.50545436999352,2.74362473742895e-15,2.66743638895112e-12
"crispld2",-2.09082774467964,5.38494783035403,-8.47396142196179,3.33782880871819e-15,3.01334416524209e-12
"rgs20",-2.30397999748967,-2.74602651323905,-8.45507300886197,3.75373610406233e-15,3.16289804128292e-12
"pi3",-2.34995634076788,3.08718011545292,-8.41449837207424,4.82895970460891e-15,3.8145763566595e-12
"apmap",-1.2397147831733,7.91800058373894,-8.2351582206664,1.46090341241176e-14,1.08613871938072e-11
"upp1",-1.31029604736873,9.06407713859315,-8.22019271075752,1.60152752980862e-14,1.12453924718062e-11
"tmem88",-1.47269542182145,2.73403984740784,-8.20835393918696,1.72220729569953e-14,1.14563042159718e-11
"il18",-1.29005607664408,8.95635122930249,-7.83811952292489,1.63008768017435e-13,9.81079913796360e-11
"bco2",-1.29903771720962,2.905251151992,-7.69460761150278,3.84431048118737e-13,2.20855637144215e-10
"jdp2",-1.0682223032502,5.51240018774761,-7.67439953968365,4.33526321221603e-13,2.38232137996515e-10
"procr",-1.59418078320116,1.19562852311006,-7.64567215946081,5.14163250618134e-13,2.70771221856775e-10
"trem1",-1.16037159132059,7.37146184966617,-7.57418378412279,7.84988805988543e-13,3.96858940755568e-10
"mapk13",-1.14675590952404,8.30124949204395,-7.56705079634127,8.18750492018651e-13,3.98007210331682e-10
"gadd45a",-1.17898767404518,6.82205279046504,-7.5427568079287,9.44872800508447e-13,4.28705559927384e-10
"c4bpb",-1.7496605697992,1.04889637559534,-7.54188496668078,9.49739352636028e-13,4.28705559927384e-10
"cd300lb",-1.26500566448433,7.02654351298038,-7.5293481345628,1.02252143824887e-12,4.4564305027681e-10
"adrb1",-1.93706669396815,-1.60012789743171,-7.52310508335927,1.06079502825887e-12,4.46912945405462e-10
"ddit3",-1.14705264357596,4.73706676404652,-7.46365782332002,1.50403796490772e-12,5.94047994952145e-10
"rxrg",-1.65454975669584,3.1917291100163,-7.4123539123472,2.03058168267424e-12,7.54838879038814e-10
"mybpc1",-1.50250147394269,0.837497478285868,-7.2987898006152,3.93118411440291e-12,1.38017322283162e-09
"msrb1",-1.28823556567374,7.69645754226549,-7.22949445882095,5.86737742662938e-12,2.00426441338294e-09
"il1rn",-1.16624186033784,7.48339808958769,-7.17552032215657,8.00385819439454e-12,2.66212536102507e-09
"serpine2",-1.1650993982451,8.18414042782623,-7.13140301452147,1.03068176486568e-11,3.25613785053007e-09
"txndc2",-1.3690700466483,3.42444250101681,-7.1246713077271,1.07115011565111e-11,3.25613785053007e-09
"gramd1a",-0.956424343835176,9.56675540425606,-7.02100842590277,1.9334277473286e-11,5.5537712042014e-09
"tsc22d3",-1.18062524218466,9.6377000610077,-6.98208996266895,2.41038264170159e-11,6.57444678233785e-09
"vit",-1.60935507651362,1.18763480839314,-6.97958295807909,2.44480575021662e-11,6.57444678233785e-09
