"","logFC","AveExpr","t","P.Value","adj.P.Val"
"alox15",-2.83853720001056,6.98980269327635,-7.44509589172159,1.70923353144731e-12,3.0861432291375e-09
"epx",-3.3859368411326,3.28245903078762,-7.33539540122731,3.23758387645567e-12,4.77959987808318e-09
"prom1",-2.54255680198879,-1.10186478834359,-6.91740751756155,3.52447651213918e-11,3.71215488641059e-08
"prg2",-3.33372648307483,3.94197707266579,-6.89460988802576,4.00580542465079e-11,3.89456728939703e-08
"pmap37",-3.03718612017281,4.17045715373083,-6.65468614589101,1.51870078568224e-10,1.27965728201586e-07
"hk3",-1.63304368948711,7.78005094918064,-6.11029146339128,2.8157415786112e-09,2.09342104776864e-06
"crisp2",-2.96057849078903,-0.421723633524967,-5.85336838409954,1.05870042451791e-08,7.04258666604309e-06
"c4bpa",-2.12662549396117,0.432053083696438,-5.52631251537362,5.41762850054945e-08,3.2106822602864e-05
"saxo1",-1.95825456293617,0.228515603372564,-4.72254325689477,2.27655906992604e-06,0.00110667038787674
"chit1",-2.4547883272467,0.545565805312116,-4.56550465358174,4.50166008708415e-06,0.0021072771052095
"abcb11",-2.46070810712087,-0.160656507507735,-4.29382326148798,1.40731678645875e-05,0.00592902562135072
"pi15",-2.11642299696217,-1.36901440709139,-4.04427687849256,3.83077085477747e-05,0.0142403273039801
"capn3",-1.75137729072992,1.10199419419485,-3.99136207382681,4.7099039895444e-05,0.0170081361496719
"gpr84",-1.72085749393711,0.646387763775696,-3.89314797259683,6.87394376138922e-05,0.024133270888944
"padi4",-1.57363164214715,6.83385063207026,-3.79317241622715,0.000100273724703471,0.0342529623385722
