"","logFC","AveExpr","t","P.Value","adj.P.Val"
"gzmh",-2.58670160311359,4.73620185379244,-7.13644160490041,1.00138255802514e-11,1.26564741508798e-07
"dusp1",-1.4681245317152,10.0698737675903,-6.71897645978571,1.05105450207722e-10,6.19698092738219e-07
"msc",-2.18248665009955,1.19649414621044,-6.46224062381459,4.28509740875394e-10,1.12557073550354e-06
"ighg1",-2.23456579436526,9.23226649259839,-6.45514491544604,4.45276816007413e-10,1.12557073550354e-06
"mmp28",-2.41326120234765,0.410848036590339,-6.21288898167669,1.62591887055003e-09,2.56874857561022e-06
"il25",-2.09694685616755,-1.98044911734413,-5.90813300904763,7.93756547744941e-09,9.93440154314863e-06
"tspan11",-1.61486700962233,4.50240838347034,-5.87437647515276,9.43214008369203e-09,9.93440154314863e-06
"fbxl16",-2.52570265249224,-1.5001930795852,-5.84266659656797,1.10851114627244e-08,1.07772864444134e-05
"slurp1",-1.91999450162795,1.07004209258557,-5.31593598401147,1.48911122040628e-07,9.90572458669208e-05
"gzmk",-1.64717477572484,5.27109695150148,-5.25299169823251,2.00885308151438e-07,0.000115710579704357
"prmt8",-1.49954960152932,2.18077484994063,-4.86092133806132,1.22619416118507e-06,0.000499931225910261
"il20rb",-1.46069151758081,1.10581425611219,-4.79956154325856,1.61297036923262e-06,0.000617767651416092
"il22ra2",-1.73284612649685,1.14169961178519,-4.74570583505875,2.04759990652149e-06,0.000739417577672145
"tmem88",-1.29818467874211,2.73403984740784,-4.70170285588679,2.48477507428101e-06,0.000816883384518495
"ig gamma-3 chain c region ",-1.76602047203633,8.55700845181198,-4.5407937514976,4.98662596293427e-06,0.00143240830785287
"nfkbia",-0.979770783094429,8.53955207838188,-4.51731256923688,5.51208458281077e-06,0.00154816082315878
"il7",-1.54084045230202,0.773746959651622,-4.50876551185412,5.71626546552376e-06,0.00157060606997293
"hbegf",-1.77333118673364,-1.57795427880668,-4.49105610936602,6.1627343884715e-06,0.00165725106246577
"ccl4",-1.43618559019685,3.84714462996682,-4.3340379992421,1.18917978001184e-05,0.00283585721501313
"cebpb",-1.15253957108529,8.10214913690572,-4.30621787209045,1.33367558422853e-05,0.00306478649255716
"fabp4",-2.55849526457557,-1.61827166282112,-4.26438616531186,1.58312362210832e-05,0.00351036832628544
"drd2",-1.94405987678021,1.70531451094982,-4.22554274246532,1.85411037985494e-05,0.00384165591655519
"snai1",-1.1345278552605,2.8968143257851,-4.14525595744493,2.56178885650777e-05,0.00483260438170174
"fos",-1.31085963065294,6.9269845786947,-3.97613908712152,4.98572019146396e-05,0.00863212568491958
"tsc22d3",-1.0560951123509,9.6377000610077,-3.95053711568946,5.50454924196419e-05,0.00927626638255805
"olfml3",-1.12421643130622,1.99538926741014,-3.92170949095036,6.15011933871777e-05,0.0100949816002667
"sh3rf2",-1.74255955443173,-1.14797279688115,-3.85501320514313,7.93042957208665e-05,0.0125290874202004
"dusp12",-0.930142527833743,4.24176985505553,-3.70226834099762,0.000140208060447537,0.0207013550033688
"gas1",-1.64266335435956,-2.05848580552257,-3.70100746196659,0.000140858970669334,0.0207013550033688
"trgc1",-1.3471555200948,5.8572266313116,-3.6623260831863,0.000162270564065279,0.0235739960830007
"lin7a",-1.5271283747114,-1.30667993024779,-3.62718457089852,0.000184351861429709,0.026477536097842
"sema6b",-1.09196552178071,5.42717156881849,-3.61244304838168,0.000194433066678223,0.0276116801095063
"ctnnbip1",-1.01929005595776,1.32580919706835,-3.58401899025048,0.00021535399834886,0.0295854259253396
"ddit4",-0.892430437248021,5.31852842965759,-3.53073044093206,0.000260401659833322,0.0348084356529535
"ig gamma-2a chain c region secreted form ",-1.54066786239681,5.49105275300951,-3.52939736323384,0.000261634732734439,0.0348084356529535
"gzma",-1.36191813788128,5.65037673578348,-3.47086880310858,0.000321506780527976,0.0413698765897438
