"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.62466043034118,1.96928613510739,-18.9657652776008,3.9834583200397e-45,5.03469297069818e-41
"obsl1",-3.35241712161226,2.18589837644091,-13.584008159983,1.04378550684968e-29,4.39746834035769e-26
"ripk4",-3.33382262383295,-2.48351008978652,-10.3786873051574,2.19184378048957e-20,2.77027135416077e-17
"sall4",-3.12195118515484,-2.35638418471565,-9.99020251585587,2.76702208233095e-19,2.91436600821507e-16
"tspan7",-2.21044859783411,1.3339698688661,-7.93233343721622,1.09159275999347e-13,6.27120040616249e-11
"ftcd",-2.83978143682035,-1.98440852199015,-7.88924740280559,1.41140989653752e-13,7.43283736764069e-11
"dll1",-2.270056390453,-0.516983470860325,-7.52666513806646,1.19506870205349e-12,5.39445475901931e-10
"ppfibp1",-2.24204279408444,0.216930264868273,-7.4527778212303,1.835932643756e-12,8.00150092566623e-10
"fst",-2.14762805525849,1.93562488803779,-7.29889164179371,4.45912608178649e-12,1.87862981825665e-09
"mmp2",-2.08180726691019,0.447544104688415,-7.11174889631288,1.29527348101669e-11,5.2809553311516e-09
"ccdc3",-2.60722149839672,-2.0348541213777,-6.93757431731916,3.44876379625036e-11,1.28202722414142e-08
"col6a2",-3.93625538956171,-1.0344773694106,-6.85748546253602,5.38656495662486e-11,1.84002147261572e-08
"trpm6",-2.49400178739281,0.64294643390091,-6.78016451475736,8.26219330008652e-11,2.74804897683667e-08
"csdc2",-2.11541399175969,0.384215327511928,-6.74719669452485,9.90726608769736e-11,3.21071630980531e-08
"mycn",-2.38711948599433,0.614944951662628,-6.68447855249696,1.39759362795607e-10,4.3484901079363e-08
"ackr3",-2.27372804794487,-0.176538654555074,-6.64862019187242,1.70004761228348e-10,5.11592899325023e-08
"islr",-2.48967541126581,-2.64117699774788,-6.59714016165365,2.24984455649208e-10,6.61297333709382e-08
"gcgr",-2.36859763685233,-2.70490371397673,-6.4984170529543,3.83710007303137e-10,1.07771350717875e-07
"gask1a",-2.27261297929238,-1.21601111675411,-6.34165384611352,8.87105681248268e-10,2.42275551184269e-07
"afap1l2",-2.17976237119473,0.88114344350049,-6.33873847884811,9.00937645831209e-10,2.42275551184269e-07
"cdh11",-2.16106429771255,-1.5011305946326,-6.31204863260858,1.03782637562465e-09,2.66034404317645e-07
"wdr72",-2.34919659133775,-2.82260065326608,-6.30940756028059,1.05243454512875e-09,2.66034404317645e-07
"col1a1",-2.73363447214411,-2.27210557921343,-6.17396108044145,2.14521907310859e-09,5.21411997404221e-07
"arhgap36",-2.20397472613832,-3.03927256460161,-6.07016540208572,3.67894546445399e-09,8.72427895533334e-07
"sorcs2",-2.44116616375011,-0.0849588514216197,-6.06763197024409,3.72743938276763e-09,8.72427895533334e-07
"kirrel1",-1.91261810067299,0.635387980723241,-5.86779999208429,1.03600765868933e-08,2.33823228538829e-06
"apba2",-2.70582471359084,-1.16153098688143,-5.84572500550621,1.15833627105035e-08,2.52417450513886e-06
"tmprss7",-2.52087461601027,-0.753579112048425,-5.82721910364164,1.27168817923662e-08,2.72421472836807e-06
"prss33",-2.52045475622038,-2.6672082124052,-5.76852402400244,1.70781575809828e-08,3.59751389443402e-06
"axl",-2.10838467643735,0.976370614552881,-5.66941056958021,2.79772492289856e-08,5.756248434956e-06
"spata31e1",-2.3199734116887,-3.16642324978276,-5.51275543482275,6.03547940196092e-08,1.19191287752163e-05
"ildr2",-2.07133863743319,-0.292952973300851,-5.4879126657449,6.80929238147578e-08,1.30397949105261e-05
"abcb1",-2.25024397176586,-0.937782308988218,-5.17148692951613,3.06597406619905e-07,5.45786566516757e-05
"pald1",-1.93810586249459,-0.244137135056156,-4.74414913978051,2.12147332031707e-06,0.000326991479213262
"cacna1i",-2.0180386432182,1.94488308431088,-4.67962569648309,2.8123036296513e-06,0.000425100315999717
"znf711",-1.63699419029133,-0.301401909960835,-4.66293332804269,3.02371169759594e-06,0.000449608142893119
"plcl1",-1.69365229978547,0.317168391693003,-4.65029844301667,3.19384573208686e-06,0.000463988692044204
"plekhg5",-1.80512903951268,2.92770853631902,-4.64627412815679,3.24994782087707e-06,0.000466773755773469
"glycine n-phenylacetyltransferase ",-1.71154562484356,-0.249784992342488,-4.62768292630056,3.52170004885255e-06,0.000500120976600533
"c1qc",-2.24860237336894,1.90139109396184,-4.52863682207534,5.38112208604536e-06,0.000739260891799209
