"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.63561828977748,1.96928613510739,-21.2187237067445,1.28401506750327e-50,1.62286664381738e-46
"obsl1",-3.42073918359632,2.18589837644091,-15.5820731131512,3.14970621695624e-35,1.32697122920367e-31
"ripk4",-3.29578814742538,-2.48351008978652,-11.3221752457948,5.83160806264836e-23,6.70051766398296e-20
"sall4",-3.04977602031192,-2.35638418471565,-11.0653154001555,3.16129304511221e-22,3.32963189976444e-19
"ftcd",-2.82086137241742,-1.98440852199015,-8.76854258081625,7.68380779763105e-16,3.89662287651151e-13
"dll1",-2.29173683984905,-0.516983470860325,-8.72373061503395,1.01298399931627e-15,4.92427106436858e-13
"tspan7",-2.15826888113968,1.3339698688661,-8.38529307708543,8.02573768386385e-15,3.6227606637984e-12
"ppfibp1",-2.23299037481142,0.216930264868273,-8.18880174447467,2.62919975372912e-14,1.14587778232353e-11
"fst",-2.156463638102,1.93562488803779,-8.1128577974816,4.14605728233848e-14,1.7467339330492e-11
"mmp2",-2.08367038093955,0.447544104688415,-8.06360044871368,5.56565237686369e-14,2.26917033519936e-11
"ccdc3",-2.58184558522554,-2.0348541213777,-7.65412606643016,6.23917591983339e-13,2.25305555573641e-10
"csdc2",-2.11746479236894,0.384215327511928,-7.60921871969037,8.10417145889974e-13,2.84523952969538e-10
"ackr3",-2.21027068634936,-0.176538654555074,-7.53150429433459,1.27209073633046e-12,4.34539319364342e-10
"trpm6",-2.45646507938247,0.64294643390091,-7.45000721172012,2.03620084683482e-12,6.59885705208853e-10
"islr",-2.51150278485413,-2.64117699774788,-7.43264665059736,2.25010055298081e-12,7.10975522228113e-10
"afap1l2",-2.15767496500754,0.88114344350049,-7.29227537811943,5.02496886035612e-12,1.54903857136685e-09
"gcgr",-2.36290064969209,-2.70490371397673,-7.20221487952059,8.38008591547997e-12,2.46316060199422e-09
"col6a2",-3.89997510610048,-1.0344773694106,-7.19397406937109,8.78016785705163e-12,2.52210321693808e-09
"mycn",-2.29978122021069,0.614944951662628,-7.07307970457582,1.73487346273168e-11,4.76675341205777e-09
"wdr72",-2.34401256303773,-2.82260065326608,-7.06384942247947,1.82701808678123e-11,4.91312374443149e-09
"gask1a",-2.21773533044241,-1.21601111675411,-6.88113561960665,5.05180369600265e-11,1.3302030607037e-08
"cdh11",-2.14622027317109,-1.5011305946326,-6.83229199702497,6.61417403040572e-11,1.67193091140596e-08
"col1a1",-2.73502106084442,-2.27210557921343,-6.75581829343217,1.00646065965157e-10,2.49424632888945e-08
"arhgap36",-2.17227260161686,-3.03927256460161,-6.62598538542756,2.0405179569888e-10,4.86605782233613e-08
"prss33",-2.55835317879174,-2.6672082124052,-6.56708672708513,2.80471361130423e-10,6.56458802468041e-08
"kirrel1",-1.90867434838864,0.635387980723241,-6.55459940808429,2.99977408912296e-10,6.89348085680457e-08
"sorcs2",-2.34273525019168,-0.0849588514216197,-6.4832112890229,4.39961783893792e-10,9.58737411488558e-08
"spata31e1",-2.30705656930308,-3.16642324978276,-6.34278477730658,9.2797314733866e-10,1.95477543486889e-07
"apba2",-2.6297293613853,-1.16153098688143,-6.29107505406251,1.21855987137722e-09,2.52481610071093e-07
"tmprss7",-2.41238894343875,-0.753579112048425,-6.25518382880993,1.47106277835304e-09,2.95123213581017e-07
"ildr2",-2.06211382470541,-0.292952973300851,-6.04515264847783,4.37134470187635e-09,8.37112510409321e-07
"axl",-2.07403217277704,0.976370614552881,-5.98388900844184,5.98048948136592e-09,1.11157950816153e-06
"abcb1",-2.21072674692304,-0.937782308988218,-5.64610349536589,3.24876658825452e-08,5.78326209985196e-06
"pald1",-1.9254709312217,-0.244137135056156,-5.27890348371472,1.90281235490422e-07,2.96909201896722e-05
"znf711",-1.63521798693851,-0.301401909960835,-5.24791155618378,2.2010491456166e-07,3.31179287517241e-05
"glycine n-phenylacetyltransferase ",-1.7085046397853,-0.249784992342488,-5.16354551918846,3.26212881380897e-07,4.85059365620371e-05
"plcl1",-1.6897458799854,0.317168391693003,-5.14156376839083,3.61173823420747e-07,5.24698385541933e-05
"cacna1i",-1.96650870757905,1.94488308431088,-5.00014515073253,6.90413732283287e-07,9.69571018036496e-05
"sox4",-1.50445401039252,0.885767618581547,-4.90749633072926,1.04844796972679e-06,0.000144036237928009
"c1qc",-2.17725093420376,1.90139109396184,-4.81194057368997,1.6040528018347e-06,0.000213406561709355
"c2",-2.54780963417239,0.57587197946146,-4.8093147811334,1.62277272715019e-06,0.000213648171858868
"vegfc",-1.84332031148509,-1.60923032066641,-4.78310570271733,1.82158476944917e-06,0.000232555655566344
"col27a1",-1.83117914688664,-2.19852993375115,-4.77380355389538,1.89765601803102e-06,0.000237541747181285
"mx1",-1.84492138820313,6.07602855919801,-4.72360449177314,2.36420785279231e-06,0.000292953167171
"plekhg5",-1.72692077522918,2.92770853631902,-4.70401858432138,2.57479231246593e-06,0.000315949514924824
"c1qb",-2.20911891154471,1.93792183282316,-4.49074767426662,6.41485788155273e-06,0.000737067170590409
"klra1",-1.73634215062366,-0.761304537095361,-4.19401231813843,2.17129729659359e-05,0.00234555782321764
"atcay",-1.62799002821161,-0.798664935345857,-4.06892236924842,3.56479458801063e-05,0.00375461989982219
"c1qa",-1.94099962148727,1.71562343088644,-4.02809743053465,4.18090637854588e-05,0.0043671467535902
"col2a1",-1.62306848428053,-1.73834625347183,-3.97932215623632,5.05028339092247e-05,0.00518947412828204
"mertk",-1.79427770387243,0.450231928218624,-3.95373728488845,5.57259700379808e-05,0.00563297665901025
"mark1",-1.5747845867321,-2.87872694719306,-3.83910758151738,8.61092423304211e-05,0.00830789857873429
"txk",-1.32088132578228,4.9766979132318,-3.83176248812289,8.85154775618873e-05,0.0084753569765507
"msx2",-1.65963470124642,0.514457166116729,-3.81767940967327,9.3308498539045e-05,0.00886711363184203
"cd248",-1.73335651746132,-3.29755626853967,-3.77204156130669,0.000110587734724523,0.0102773410234062
"peg3",-1.62722546783869,0.910525594958691,-3.72152890178595,0.000133230443755707,0.012202170859626
"nrp1",-1.41831089728538,2.55326557872065,-3.69777280125664,0.000145334238121281,0.0132149599684523
"adamts14",-1.65407631981923,-1.25461839336469,-3.63919145819123,0.000179771555393099,0.0160009344268548
"nlgn1",-1.59905411245461,-1.71996033044618,-3.60376850837797,0.000204187767150875,0.0179217304793049
"neo1",-1.63772237746731,0.619315322966997,-3.59280571092624,0.000212356128759114,0.0183833500779893
"eln",-1.75705873311056,-3.69506082605137,-3.57850216011691,0.00022347690885853,0.0192144534085916
"shisa2",-1.72310419598568,-2.98837993580854,-3.52206504895852,0.000272930871364116,0.0233079275889936
"pomgnt2",-1.45416215503675,-0.885182679861828,-3.37876143758508,0.000448572515944569,0.0368149872014507
"znf423",-1.57521817044144,-1.01806584271808,-3.37453490326109,0.000455086947711025,0.0371086705298042
"gbp1",-1.34628573465073,7.84994648247581,-3.34177310310598,0.000508664853354651,0.040181344259684
"prss21",-1.57734192767099,-2.50362290236021,-3.32760739359396,0.000533607766765023,0.0416312874329822
"lef1",-1.29029465517778,3.64024908696397,-3.2860682639477,0.000613484682095862,0.0472794688842049
