"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.21274418607714,4.16429582656718,-5.59025207820082,4.13322457033378e-08,0.00041565155405753
"c4bpa",-1.76785805977236,0.431794892057998,-5.43808168870694,8.66402064923373e-08,0.00041565155405753
"crispld2",-1.75437205346083,5.39446852322281,-5.41108325664418,9.8659281760629e-08,0.00041565155405753
"clu",-2.12156722561477,4.52490095467005,-5.31541765608202,1.55792209229016e-07,0.000460056364004147
"rab20",-1.57113811172263,5.32029304584775,-4.9579840787015,8.17604152610942e-07,0.00153281035149816
"prom1",-1.79729630301477,-1.09834235621437,-4.8941991545215,1.08992235507387e-06,0.00172194108072233
"drd2",-1.89187977177254,1.73934720083159,-4.42408124963669,8.3584760311063e-06,0.0117380865063503
"prg2",-2.01254159023631,3.94583582325268,-4.21025973498984,2.00968869100053e-05,0.0254004553655557
"epx",-1.95805652977352,3.28120647195365,-4.15697810888173,2.48839746204234e-05,0.0285916868388664
"c4bpb",-1.46557193183738,1.02790934642361,-4.03194027304969,4.07617865291817e-05,0.0429323516618606
