"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.73676998496594,1.96928613510739,-20.0613157872246,1.56148602402497e-48,1.97356218576516e-44
"obsl1",-3.42743519438983,2.18589837644091,-15.0107085068534,4.24121106924294e-34,2.68023333520808e-30
"ripk4",-3.51411558033957,-2.48351008978652,-11.5541222351798,7.00060671667512e-24,1.76961336584114e-20
"sall4",-3.07603083290777,-2.35638418471565,-9.83099089443541,6.61542792439969e-19,6.96769946137398e-16
"ppfibp1",-2.37840215599865,0.216930264868273,-8.6391429424344,1.32951052940002e-15,7.63803799140309e-13
"tspan7",-2.27500405911642,1.3339698688661,-8.62922435737227,1.41422794908765e-15,7.77149002109513e-13
"dll1",-2.36506489658132,-0.516983470860325,-8.59111884101347,1.7925517462356e-15,9.44002563361323e-13
"fst",-2.30870563461939,1.93562488803779,-8.43022768860216,4.85411935398639e-15,2.35966209673208e-12
"ftcd",-2.76482200311718,-1.98440852199015,-8.18632795647727,2.16451254626452e-14,9.4335427835301e-12
"mmp2",-2.20165984337573,0.447544104688415,-8.12330733619547,3.1751749100094e-14,1.29454953830996e-11
"ccdc3",-2.70823423828692,-2.0348541213777,-7.88348901175092,1.34799326589887e-13,5.32415215240494e-11
"ackr3",-2.41225323338915,-0.176538654555074,-7.84093835234926,1.7385632659607e-13,6.6586973086295e-11
"trpm6",-2.67547819557241,0.64294643390091,-7.60812774804234,6.91397400509185e-13,2.57016816030458e-10
"mycn",-2.48746431253014,0.614944951662628,-7.56206740278851,9.06359566086568e-13,3.27299387307661e-10
"csdc2",-2.18966591297025,0.384215327511928,-7.47150775606262,1.53966553461402e-12,5.25941424107747e-10
"afap1l2",-2.32423639425514,0.88114344350049,-7.45084805631154,1.73672539735734e-12,5.77644007821038e-10
"islr",-2.52062443559352,-2.64117699774788,-7.30198447951923,4.11557386756181e-12,1.30041845280284e-09
"gask1a",-2.35367721631077,-1.21601111675411,-7.24344991199291,5.76363502713029e-12,1.77674592946097e-09
"col6a2",-3.81565819588325,-1.0344773694106,-7.01387840721309,2.12972585538948e-11,6.11763751960628e-09
"col1a1",-2.8184274704639,-2.27210557921343,-6.96368030725688,2.82571563695773e-11,7.76396085554538e-09
"apba2",-2.91278091284837,-1.16153098688143,-6.94454865542975,3.14633833647077e-11,8.46097239035194e-09
"wdr72",-2.3546248095346,-2.82260065326608,-6.8706219731646,4.75889030317143e-11,1.25307530295383e-08
"sorcs2",-2.61634439485171,-0.0849588514216197,-6.74744248409382,9.43077576812642e-11,2.43256275374183e-08
"arhgap36",-2.25406866465132,-3.03927256460161,-6.73977087613234,9.83891524298834e-11,2.43831470110058e-08
"tmprss7",-2.71315815190615,-0.753579112048425,-6.71260897160073,1.14287266290396e-10,2.77783992046985e-08
"cdh11",-2.20799616047805,-1.5011305946326,-6.48417843890283,3.97268083157135e-10,9.29828019078339e-08
"gcgr",-2.31092491893965,-2.70490371397673,-6.42770170104892,5.38486443176916e-10,1.23744184642055e-07
"spata31e1",-2.42852063044906,-3.16642324978276,-6.37473343495811,7.15218296584763e-10,1.61422215188122e-07
"ildr2",-2.17055249985746,-0.292952973300851,-6.32389499167463,9.3793836025743e-10,2.07975490092871e-07
"kirrel1",-1.90310870474078,0.635387980723241,-6.26738475228433,1.2658461259385e-09,2.71169986198927e-07
"abcb1",-2.35835249638992,-0.937782308988218,-6.02256101024498,4.55218885002451e-09,9.58918581257664e-07
