"","logFC","AveExpr","t","P.Value","adj.P.Val"
"igf2bp3",-3.70515021313642,1.96928613510739,-19.1597880015182,6.03368294450227e-46,7.62597187355642e-42
"obsl1",-3.37179580374573,2.18589837644091,-14.0909842318994,2.46039758129557e-31,1.03656550099983e-27
"ripk4",-3.34155222552338,-2.48351008978652,-10.6599299355391,2.95554156519096e-21,4.66938623030606e-18
"sall4",-3.11351376929122,-2.35638418471565,-9.62963231300006,2.53775747438535e-18,2.67289305989637e-15
"ppfibp1",-2.34873076202377,0.216930264868273,-8.13079243239378,3.10033657697447e-14,1.50712130755309e-11
"ftcd",-2.82037610904207,-1.98440852199015,-8.1201613028089,3.3067124963688e-14,1.54790886080019e-11
"dll1",-2.29396225678923,-0.516983470860325,-7.87736253350272,1.42586543267507e-13,6.43625471556436e-11
"tspan7",-2.18605304978936,1.3339698688661,-7.74226780941822,3.18673612764945e-13,1.38886751439177e-10
"ccdc3",-2.67523657686349,-2.0348541213777,-7.41724056651768,2.14589458458484e-12,8.74901988857024e-10
"fst",-2.17667460703863,1.93562488803779,-7.40393714770346,2.31810061611091e-12,9.15577302719555e-10
"ackr3",-2.34142415897004,-0.176538654555074,-7.17689662058273,8.56012169936114e-12,3.27852661085532e-09
"mmp2",-2.05614251002592,0.447544104688415,-7.06672522933094,1.60117638818046e-11,5.95213775594494e-09
"trpm6",-2.61298925949056,0.64294643390091,-7.05914891861276,1.67131721223749e-11,6.03536521299133e-09
"mycn",-2.42673535812462,0.614944951662628,-6.99357470846934,2.41972369253944e-11,8.27384910250148e-09
"col6a2",-3.86057840084906,-1.0344773694106,-6.86687314378512,4.91997600230395e-11,1.59445068443896e-08
"afap1l2",-2.24147356847055,0.88114344350049,-6.76507194192085,8.65623119341923e-11,2.66844161106404e-08
"islr",-2.45747975304767,-2.64117699774788,-6.72466815523426,1.08178809224682e-10,3.25540945188276e-08
"csdc2",-2.10773756703617,0.384215327511928,-6.70884789376892,1.18021369843213e-10,3.46900486848458e-08
"gask1a",-2.29820739249297,-1.21601111675411,-6.67951015256754,1.38662519284597e-10,3.98308086645005e-08
"wdr72",-2.35385583961859,-2.82260065326608,-6.57106588148697,2.50713721143755e-10,6.88863200333895e-08
"col1a1",-2.76798015562193,-2.27210557921343,-6.50671428397712,3.55355957475942e-10,9.55605095008176e-08
"apba2",-2.79572259168518,-1.16153098688143,-6.3273989911167,9.29281934471656e-10,2.39697844281373e-07
"tmprss7",-2.66382770594968,-0.753579112048425,-6.26180382989098,1.31561570234155e-09,3.197705165749e-07
"gcgr",-2.32062270636149,-2.70490371397673,-6.19870217520259,1.83431850837769e-09,4.37433049573315e-07
"sorcs2",-2.53825021071408,-0.0849588514216197,-6.19487652929713,1.87153280360028e-09,4.38042650087109e-07
"cdh11",-2.19255917887152,-1.5011305946326,-6.13174874795702,2.60410127810088e-09,5.98422473707583e-07
"kirrel1",-1.9200792905636,0.635387980723241,-6.11309474941269,2.86997155921287e-09,6.4774233101592e-07
"arhgap36",-2.15568233589227,-3.03927256460161,-5.97745629285015,5.78726509240014e-09,1.26112488798009e-06
"prss33",-2.52586873923942,-2.6672082124052,-5.92769621829406,7.46701802024704e-09,1.59958713148987e-06
"ildr2",-2.1138903237154,-0.292952973300851,-5.80373854355139,1.40056370986716e-08,2.90192208672311e-06
"spata31e1",-2.30380516711794,-3.16642324978276,-5.65903265986249,2.88733023431501e-08,5.88596239217862e-06
"axl",-2.07968107169267,0.976370614552881,-5.61805061177604,3.53626962685748e-08,6.98357997091433e-06
"abcb1",-2.24012589578829,-0.937782308988218,-5.35137618234423,1.29168855581856e-07,2.40083112602805e-05
"plcl1",-1.79395831117795,0.317168391693003,-5.29989754829862,1.65066886728565e-07,2.91872241457288e-05
"cacna1i",-2.12445664993739,1.94488308431088,-4.97093904852609,7.61344243593991e-07,0.000128301731930459
"pald1",-2.00220019191162,-0.244137135056156,-4.92061310679542,9.56213922437659e-07,0.000154943432893456
"sox4",-1.52938032892107,0.885767618581547,-4.81636863005651,1.52518704237688e-06,0.000235083402787821
"znf711",-1.64217955449066,-0.301401909960835,-4.72572631869581,2.27584327313336e-06,0.000330625093438305
"plekhg5",-1.80363599108301,2.92770853631902,-4.64330286168221,3.25958852763372e-06,0.000468158402281393
"glycine n-phenylacetyltransferase ",-1.71257430512636,-0.249784992342488,-4.51303483384751,5.69815984929717e-06,0.000782815677557249
"vegfc",-1.88623490974975,-1.60923032066641,-4.45044903411079,7.42172933245528e-06,0.00100863695734303
"c2",-2.52648292904697,0.57587197946146,-4.37703050565792,1.00846070724222e-05,0.00132770154987859
"col27a1",-1.81838568706297,-2.19852993375115,-4.32674119348329,1.2414650071455e-05,0.00160110981890938
"mx1",-1.86828148231831,6.07602855919801,-4.3135057642479,1.3108929081123e-05,0.00165683754656313
"klra1",-1.82488040093237,-0.761304537095361,-4.1106571722328,2.97234934157427e-05,0.0035778593645864
"c1qc",-2.1391193029786,1.90139109396184,-3.9547885775815,5.46588048695e-05,0.00639659846986676
"nrp1",-1.49946105233769,2.55326557872065,-3.75833586459786,0.000114867132260459,0.0129625507557138
"mertk",-1.82904990513313,0.450231928218624,-3.69472660337971,0.000145205569540198,0.0158211482191255
"peg3",-1.71276728584693,0.910525594958691,-3.60587649297248,0.000200432796841101,0.0211105843272889
"msx2",-1.67413811428302,0.514457166116729,-3.60055123879951,0.000204304188911371,0.0213405011871969
"c1qb",-2.151581321158,1.93792183282316,-3.56990175574788,0.000227990446109507,0.0236194364621152
"neo1",-1.71606939792256,0.619315322966997,-3.55143943813803,0.000243480858713919,0.0250191428722376
"col2a1",-1.60924016137546,-1.73834625347183,-3.51854860782254,0.000273556288492016,0.027473046784063
"eln",-1.81317301047887,-3.69506082605137,-3.50456491386468,0.000287371774019702,0.0283757175924611
"atcay",-1.652661764034,-0.798664935345857,-3.33657142979815,0.00051338869005673,0.0484232809972165
