"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.1932391698905,4.1960381524575,-5.94656943916095,6.42732798693586e-09,8.12349984268823e-05
"c4bpa",-1.79888708550713,0.439755107957951,-5.67765205843405,2.51534345579789e-08,0.000131215565084402
"rab20",-1.62177350394943,5.31667303980678,-5.63478753203249,3.11453987857588e-08,0.000131215565084402
"crispld2",-1.72951343779488,5.38494783035403,-5.30450217169062,1.55808464998326e-07,0.000328210531518973
"clu",-2.04042060288173,4.53564588906068,-5.13536202799143,3.46324607675614e-07,0.000625313816630298
"prom1",-1.75915095880523,-1.10568681645496,-4.87801437087093,1.12772171428401e-06,0.00178165934335445
"prg2",-1.97448381237165,3.96035134241179,-4.37780035786932,9.8716672341186e-06,0.0138631113524472
"pi3",-1.68763878173636,3.08718011545292,-4.29647547405782,1.38206217133578e-05,0.0162445138024608
"epx",-1.92088443765465,3.28381374834374,-4.28084148813108,1.47363431591327e-05,0.0162445138024608
"c4bpb",-1.48934284809203,1.04889637559534,-4.26971383249561,1.54232269664949e-05,0.0162445138024608
"fn1",-1.59989957773693,2.70892417577376,-4.21047859189688,1.96271526609041e-05,0.0184988230081523
"crisp2",-1.92028732320963,-0.410762201722404,-4.08915789003757,3.19053784971339e-05,0.0268834719216851
