"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pmap37",-2.1993529428683,4.16429582656718,-5.83596165912737,1.18232070338004e-08,0.000149433513700203
"crispld2",-1.75002996463611,5.39446852322281,-5.54124033318574,5.12875284679511e-08,0.000255784245581083
"c4bpa",-1.75265366391194,0.431794892057998,-5.31018115588449,1.56439162548514e-07,0.000444451124380469
"rab20",-1.59690704476467,5.32029304584775,-5.25520535425188,2.03020287152906e-07,0.000444451124380469
"clu",-2.03391757400423,4.52490095467005,-4.95035158153453,8.32758083013331e-07,0.00150360420160078
"prom1",-1.76949255807731,-1.09834235621437,-4.81597849601297,1.52262363812785e-06,0.00240555502028723
"prg2",-2.02239407714349,3.94583582325268,-4.46920027637793,6.84073384702326e-06,0.00960667056583633
"epx",-1.98600408492453,3.28120647195365,-4.43568327437638,7.87600629246047e-06,0.00995448435304079
"crisp2",-1.94939239214564,-0.435925094554338,-4.09917013987805,3.10469761656596e-05,0.0308527779895176
"c4bpb",-1.46531634454756,1.02790934642361,-4.08860902046822,3.23708374617219e-05,0.0308527779895176
"fn1",-1.59303612173309,2.7020688514445,-4.07486061115864,3.41750844096247e-05,0.0308527779895176
