"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Regulation"
"GO:0002250","adaptive immune response","13/68","406/11202",0.0320197044334975,5.27477542741234,6.85649446273248,7.86019103438701e-07,0.0011475878910205,0.00108967069392502,"IGHV3-23/IGHE/IGLV1-40/IGLL5/IGHV3-74/JCHAIN/IGHG1/IGLV2-11/IGLV3-1/TNFRSF17/TRGC1/TNFRSF13B/IGLV3-21",13,"Upregulated"
"GO:0038084","vascular endothelial growth factor signaling pathway","5/50","61/11202",0.0819672131147541,18.3639344262295,9.10516851331792,7.11355109710068e-06,0.00448350162709887,0.00355732229619667,"DLL1/AXL/VEGFC/NRP1/MERTK",5,"Downregulated"
"GO:0007507","heart development","10/50","405/11202",0.0246913580246914,5.53185185185185,6.21997566384215,9.59969389727403e-06,0.00448350162709887,0.00355732229619667,"OBSL1/SALL4/DLL1/MMP2/CDH11/SOX4/NRP1/MSX2/COL2A1/ELN",10,"Downregulated"
"GO:0002009","morphogenesis of an epithelium","9/50","325/11202",0.0276923076923077,6.20418461538462,6.37495070858766,1.14444591664789e-05,0.00448350162709887,0.00355732229619667,"RIPK4/SALL4/DLL1/FST/MMP2/MYCN/VEGFC/NRP1/MSX2",9,"Downregulated"
"GO:0061430","bone trabecula morphogenesis","3/50","11/11202",0.272727272727273,61.1018181818182,13.3532360257212,1.34639688501468e-05,0.00448350162709887,0.00355732229619667,"MMP2/COL1A1/MSX2",3,"Downregulated"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway","5/50","73/11202",0.0684931506849315,15.3452054794521,8.23336090095687,1.72525022924914e-05,0.0045960666107197,0.00364663416877081,"DLL1/AXL/VEGFC/NRP1/MERTK",5,"Downregulated"
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","5/50","76/11202",0.0657894736842105,14.7394736842105,8.04719240664527,2.1008217994404e-05,0.00466382439475769,0.00370039488883888,"DLL1/AXL/VEGFC/NRP1/MERTK",5,"Downregulated"
"GO:0048705","skeletal system morphogenesis","6/50","139/11202",0.0431654676258993,9.67079136690647,6.88758070734007,3.32337828884724e-05,0.00632391411534933,0.00501755158195885,"MMP2/MYCN/COL1A1/COL27A1/MSX2/COL2A1",6,"Downregulated"
"GO:0048729","tissue morphogenesis","9/50","394/11202",0.0228426395939086,5.11766497461929,5.57138886086225,5.23830881899094e-05,0.00841333352243309,0.00667534918328024,"RIPK4/SALL4/DLL1/FST/MMP2/MYCN/VEGFC/NRP1/MSX2",9,"Downregulated"
"GO:0071363","cellular response to growth factor stimulus","10/50","498/11202",0.0200803212851406,4.49879518072289,5.34807096288203,5.68468481245479e-05,0.00841333352243309,0.00667534918328024,"DLL1/FST/COL1A1/AXL/VEGFC/NRP1/MERTK/MSX2/NEO1/COL2A1",10,"Downregulated"
"GO:0034505","tooth mineralization","3/50","20/11202",0.15,33.606,9.77214266076372,9.04258319133315e-05,0.0109497461916871,0.00868780241540525,"WDR72/COL1A1/MSX2",3,"Downregulated"
"GO:0060343","trabecula formation","3/50","20/11202",0.15,33.606,9.77214266076372,9.04258319133315e-05,0.0109497461916871,0.00868780241540525,"MMP2/COL1A1/MSX2",3,"Downregulated"
