"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Regulation"
"GO:0010936","negative regulation of macrophage cytokine production","2/7","12/11202",0.166666666666667,266.714285714286,23.0279805320561,2.20266246871748e-05,0.00352280727309662,0.00168316286284571,"EPX/PRG2",2,"Downregulated"
"GO:0002698","negative regulation of immune effector process","3/7","102/11202",0.0294117647058824,47.0672268907563,11.6868114120163,2.49844487453661e-05,0.00352280727309662,0.00168316286284571,"C4BPA/EPX/PRG2",3,"Downregulated"
"GO:0032693","negative regulation of interleukin-10 production","2/7","18/11202",0.111111111111111,177.809523809524,18.7719201206145,5.09705732146233e-05,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0006958","complement activation, classical pathway","2/7","23/11202",0.0869565217391304,139.155279503106,16.5842293596709,8.41592573805567e-05,0.00403484526094781,0.001927809605828,"C4BPA/CLU",2,"Downregulated"
"GO:0032753","positive regulation of interleukin-4 production","2/7","24/11202",0.0833333333333333,133.357142857143,16.230665280034,9.17827574838407e-05,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0002719","negative regulation of cytokine production involved in immune response","2/7","26/11202",0.0769230769230769,123.098901098901,15.5854950795285,0.000108013157141429,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0002252","immune effector process","4/7","491/11202",0.00814663951120163,13.0369508292115,6.82036461441789,0.000114829839762902,0.00403484526094781,0.001927809605828,"C4BPA/EPX/PRG2/CLU",4,"Downregulated"
"GO:0032633","interleukin-4 production","2/7","29/11202",0.0689655172413793,110.364532019704,14.7453799661253,0.000134812829647836,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0032673","regulation of interleukin-4 production","2/7","29/11202",0.0689655172413793,110.364532019704,14.7453799661253,0.000134812829647836,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0010934","macrophage cytokine production","2/7","32/11202",0.0625,100.017857142857,14.0257888236082,0.000164550317376431,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0010935","regulation of macrophage cytokine production","2/7","32/11202",0.0625,100.017857142857,14.0257888236082,0.000164550317376431,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0006956","complement activation","2/7","33/11202",0.0606060606060606,96.987012987013,13.8079012119847,0.000175114287589099,0.00403484526094781,0.001927809605828,"C4BPA/CLU",2,"Downregulated"
"GO:0002701","negative regulation of production of molecular mediator of immune response","2/7","34/11202",0.0588235294117647,94.1344537815126,13.599642668043,0.00018600350493731,0.00403484526094781,0.001927809605828,"EPX/PRG2",2,"Downregulated"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","2/7","36/11202",0.0555555555555556,88.9047619047619,13.2093123662637,0.000208756506110465,0.00420495248022508,0.00200908517158944,"C4BPA/CLU",2,"Downregulated"
"GO:0061082","myeloid leukocyte cytokine production","2/7","43/11202",0.0465116279069767,74.4318936877076,12.063454395692,0.000298594161994699,0.00561357024550034,0.00268210896388221,"EPX/PRG2",2,"Downregulated"
"GO:0032613","interleukin-10 production","2/7","51/11202",0.0392156862745098,62.7563025210084,11.0528642421966,0.000420598959382695,0.00697699450270117,0.00333353973999907,"EPX/PRG2",2,"Downregulated"
"GO:0032653","regulation of interleukin-10 production","2/7","51/11202",0.0392156862745098,62.7563025210084,11.0528642421966,0.000420598959382695,0.00697699450270117,0.00333353973999907,"EPX/PRG2",2,"Downregulated"
"GO:0002697","regulation of immune effector process","3/7","315/11202",0.00952380952380952,15.2408163265306,6.41064045957312,0.000708720825517616,0.0111032929331093,0.00530504477580438,"C4BPA/EPX/PRG2",3,"Downregulated"
"GO:0001819","positive regulation of cytokine production","3/7","376/11202",0.00797872340425532,12.7682370820669,5.80412410212136,0.0011872778727403,0.0176217031638297,0.00841947743549908,"EPX/PRG2/CLU",3,"Downregulated"
"GO:0002683","negative regulation of immune system process","3/7","401/11202",0.00748129675810474,11.972212326327,5.59499594495524,0.00143109800181722,0.0190247847334901,0.00908985608766978,"C4BPA/EPX/PRG2",3,"Downregulated"
"GO:0002718","regulation of cytokine production involved in immune response","2/7","95/11202",0.0210526315789474,33.6902255639098,8.00104482706542,0.00145371600894021,0.0190247847334901,0.00908985608766978,"EPX/PRG2",2,"Downregulated"
"GO:0002367","cytokine production involved in immune response","2/7","96/11202",0.0208333333333333,33.3392857142857,7.9570589385377,0.00148420306431483,0.0190247847334901,0.00908985608766978,"EPX/PRG2",2,"Downregulated"
