"","logFC","AveExpr","t","P.Value","adj.P.Val"
"fcmr",1.36240118587478,6.52588855028827,8.13885489428491,2.63568188976053e-14,1.66561917023417e-11
"fcrl5",1.35963877272475,3.28267942948376,7.4973520027002,1.23422086026299e-12,5.03203788802062e-10
"fcrl1",1.56454205939904,3.99792473490802,7.43450541348743,1.7839835056276e-12,6.83265682655372e-10
"cobll1",1.50863047327875,0.880446632058457,7.31923429405578,3.49175746473158e-12,1.26092350276407e-09
"bach2",1.73406485981093,1.85503800078753,7.15542142957857,8.98211365270211e-12,2.91089575529492e-09
"il23r",1.9235389479735,-0.0543546087851043,7.12290426464215,1.08203014259248e-11,3.25613785053007e-09
"blnk",1.05879423948325,3.77283434910464,7.06611449191419,1.49616834897879e-11,4.39769110761462e-09
"tp73",1.30938207333986,4.40240567211143,6.98818117158982,2.32872425567395e-11,6.54061019276957e-09
"vav2",1.28954529747221,3.12541621486131,6.83160994835677,5.61755733364245e-11,1.36539052192129e-08
"pim2",0.973322215068011,6.82927307949266,6.81426144434059,6.18902096115659e-11,1.47590633826525e-08
"ig mu chain c region membrane-bound form ",1.25348897153328,10.4058555566436,6.75842694915616,8.44543380979116e-11,1.77903063203251e-08
"foxred2",1.25934508369769,2.87836425599551,6.58737769186087,2.16875358801772e-10,4.07675986293202e-08
"zc3h12d",1.01795548990195,3.9442854308959,6.54787138723299,2.69116757020429e-10,4.85909527425886e-08
"hla-doa",1.02824996587803,3.86786160014212,6.45419096810293,4.47579601116514e-10,7.73507665663392e-08
"cr2",1.68931369455141,3.33329020867218,6.34888040974953,7.88779494343378e-10,1.23078815172913e-07
"ms4a1",1.24510709905108,4.40772026635666,6.24038997906901,1.40574343892721e-09,1.9312164483262e-07
"fcgr2b",1.14053845441855,2.40982720563128,6.2300958853193,1.48450019158964e-09,2.01748364747327e-07
"shroom3",1.56941570075813,1.19191902657716,6.20478048801709,1.6970636751225e-09,2.26368775079903e-07
"klhl14",1.69888765654307,-0.305002109573781,6.20428796228971,1.7014822084493e-09,2.26368775079903e-07
"il24",1.07747703078807,4.2399026886052,6.13124204868203,2.49859251992039e-09,3.22241947543611e-07
"slamf1",0.981445835453673,3.60758674733323,6.05534107552478,3.71349389902362e-09,4.46998565616758e-07
"ptch1",1.47974009855779,1.71862466381001,6.01090759245617,4.67628971666559e-09,5.32465096657084e-07
"gpr174",1.35500580224055,0.923184114503412,5.94403825474232,6.60229959692759e-09,7.25621431352763e-07
"fgf13",1.09731228736909,1.52793329190002,5.84131231302276,1.11616848216698e-08,1.13768172952488e-06
"aff3",1.40489053162052,3.66717817009155,5.7554151585597,1.7236216010116e-08,1.66296590955615e-06
"tespa1",1.33401734095857,2.72350773763177,5.75120459720529,1.76053961955082e-08,1.68571668571991e-06
"edar",1.26975710469644,1.22548495527774,5.63104477017117,3.20957907632685e-08,2.89508024837948e-06
"scn4a",1.32479369040861,0.071311721903809,5.61705071378966,3.44022408597023e-08,3.01951334879012e-06
"spib",1.03285752984927,4.53880258981879,5.56956973985201,4.34987078923618e-08,3.78340429640108e-06
"itpr3",1.07069160880443,6.22957930771862,5.54264763568131,4.96585647427779e-08,4.21231275022799e-06
"btla",1.19384232638792,2.81441527568928,5.52059437674018,5.53314407624309e-08,4.63135152183023e-06
"kcna3",1.29281004982273,5.04059673546496,5.50883364227741,5.86102697270404e-08,4.81022856545496e-06
"hivep2",1.24401905360783,5.36174301575448,5.50543968325626,5.95912117960942e-08,4.8591827476828e-06
"blk",1.17609865766196,2.99109366901053,5.48236681074278,6.66973500054317e-08,5.40376799178623e-06
"capsl",1.41906358157293,-0.965460369901587,5.46048231281923,7.4197292045555e-08,5.86112233852356e-06
"gramd1c",1.39062871579694,-0.313913349880957,5.41229074693361,9.37263353942304e-08,7.26752854630477e-06
"pou2af1",1.08041607064518,4.73980581293148,5.36850888694973,1.15750994619403e-07,8.86652618784629e-06
"dock9",1.11806165020555,4.3573294724277,5.31851534764041,1.4708778361192e-07,1.08083866108782e-05
"slc38a1",1.37084718269075,3.39661338762994,5.26808471541079,1.87011141579623e-07,1.33538633809314e-05
"f2r",1.06958983124607,4.20127307713078,5.23788479990087,2.15772659670073e-07,1.51508369198336e-05
"megf6",1.02777363629655,4.51407253829643,5.19293940436263,2.66690341823318e-07,1.79292512250261e-05
"plekhd1",1.2581188093556,-0.323428183853146,5.1863866966316,2.75027624456918e-07,1.83919266958253e-05
"ccr6",1.07327843134331,2.73262529317368,5.17446269570892,2.90853458174453e-07,1.93478781992995e-05
"septin3",1.21691721349996,2.22968793302166,5.16146985416964,3.09105202802738e-07,2.01380446300196e-05
"tnfrsf13c",1.10870407517058,3.73952895736775,5.10669958781939,3.99046939640846e-07,2.47233052456895e-05
"cd40lg",0.882902358913569,3.37581907203689,5.07797406547792,4.5590001718418e-07,2.79192003923099e-05
"rasgrp1",1.07040971959735,5.48464340621648,5.07021496287641,4.72558458466204e-07,2.85773509882983e-05
"trib2",0.866204536991364,3.50539964928339,5.06729210029014,4.78985631537114e-07,2.88280923666552e-05
"trpc1",1.24381250096563,0.0787908071698869,5.05833285670545,4.9921929435185e-07,2.99034723284978e-05
"sned1",1.39315023096208,1.17368466893772,5.03585502099258,5.53701910213755e-07,3.30105586943002e-05
"slc39a10",1.14731525085736,2.59991073367953,5.01346271084896,6.13692218571026e-07,3.62451212641084e-05
"xkrx",1.50387912301946,-1.40082679877978,5.00587864752412,6.35404035053463e-07,3.70086248803719e-05
"s1pr1",0.861160890967793,6.48955626218356,4.97474640590536,7.32596055103252e-07,4.18972015404977e-05
"tlr7",1.11859361509347,2.60666687475349,4.95316452688395,8.08272586786315e-07,4.54033654417433e-05
"ccr4",0.988320472459655,3.31394886457689,4.94603459407766,8.34898458267478e-07,4.62819369036959e-05
"prob1",1.23528213231278,-0.283608137507527,4.93599254298802,8.73844935635806e-07,4.77241973527598e-05
"tbc1d9",1.15613391109062,4.68565189286883,4.91535670234636,9.59477658548887e-07,5.11680933603349e-05
"ikzf3",1.15866859162357,5.30577212812955,4.90952899068289,9.85097145474977e-07,5.2159183641735e-05
"ccdc88c",0.89263732064965,6.45153715031908,4.90387262352826,1.01059612843585e-06,5.32205186137529e-05
"id3",0.944972342663057,3.34850090985596,4.90233110653858,1.01765538504937e-06,5.33699021229835e-05
"gspt2",0.831041022971089,2.57541261830918,4.88985333175474,1.07658053279002e-06,5.61667152294251e-05
"igh-1a",1.10564878744838,5.86531199209298,4.88917583210066,1.07987275898017e-06,5.61667152294251e-05
"nox1",1.37518202689769,-0.341886977426643,4.87195864591296,1.1668850425441e-06,5.94687905351404e-05
"hla-dpb1",1.57282545906337,-1.41897832682781,4.84976997062429,1.28907396975614e-06,6.46531980307454e-05
"cxcr5",1.02639129678594,4.03746619649998,4.84797012197018,1.29951095962707e-06,6.49190475048479e-05
"raver2",1.1663602737875,-0.540406938034989,4.83238358902673,1.39337938780495e-06,6.93343389073493e-05
"parp16",0.942509186611776,1.24467575793325,4.82982781287733,1.40938435494295e-06,6.98557210279372e-05
"pawr",1.26511399046527,-0.96857506630389,4.81393029219683,1.51300513082741e-06,7.46987181583113e-05
"cntnap1",1.15746734166918,1.898504219453,4.79113123173497,1.67456216782128e-06,8.21520944814734e-05
"rora",1.14505514903648,1.19960188892929,4.77960662551036,1.76245011167911e-06,8.56754113904318e-05
"ears2",0.952498919886024,1.48188504592684,4.77093056827334,1.83153921095372e-06,8.83542904093287e-05
"vipr2",0.951095657184632,5.82626041259366,4.76646548372488,1.86810828389139e-06,8.94356840913002e-05
"caprin2",0.854293776590603,3.59820255980068,4.7309380571202,2.18530807625815e-06,0.000102296699169729
"or2ag1",1.34989509465156,-0.522734648300017,4.72317509286542,2.26124083748359e-06,0.000105460601272897
"cdca7l",0.928739666978324,3.7422726942315,4.71152876085256,2.37995627969068e-06,0.000110589218452244
"hr",1.47857891922439,-1.67572661045431,4.70390986750514,2.46085041438723e-06,0.000113100685045237
"slc38a11",1.534101750746,-2.45777006205517,4.70105534386218,2.49183679062804e-06,0.00011410987390126
"acsf2",1.0335266097054,0.22746956526211,4.68894174802535,2.62757364716111e-06,0.000119031911564406
"focad",1.14082684262763,0.158221286831141,4.67855306281041,2.74964208486877e-06,0.000123675182600201
"znf252",0.955859615931671,1.65148695748814,4.66944097959142,2.86119975964375e-06,0.000128118184368246
"nlrc3",0.972987226593663,4.8306071189755,4.6688410529482,2.86869579683627e-06,0.000128118184368246
"zscan10",0.912889532807569,4.84290651215868,4.62337176362195,3.49544181507057e-06,0.000153398920488462
"cxxc5",0.844551622973503,4.3534617689859,4.6145740457067,3.63108877043232e-06,0.000158450241237671
"zdhhc23",1.22995265353311,1.2439041392301,4.61428581836581,3.63561752978279e-06,0.000158450241237671
"slc7a6",0.936977351994944,4.58365015397624,4.60990996757708,3.70504529171347e-06,0.000160921193958648
