"","logFC","AveExpr","t","P.Value","adj.P.Val"
"gzmh",3.28915607195512,4.72243046858636,10.5960488540326,3.70493901152671e-21,4.68267241666861e-17
"ighg1",2.59433757866058,9.2270230526203,8.67155316531284,1.00176647228632e-15,5.32975510727266e-12
"gzmk",2.40301235613761,5.26574265141518,8.63429079837254,1.26507360723301e-15,5.32975510727266e-12
"prmt8",2.20866069449318,2.18715894620353,7.92780432922024,9.72557726603215e-14,3.07303927663451e-10
"tspan11",2.10243076918607,4.4921390811884,7.8340777474124,1.7084101508999e-13,4.31851917944477e-10
"fbxl16",2.88057361023114,-1.5108974384151,7.48263960973308,1.37206216913562e-12,2.89024895928418e-09
"il20rb",2.06352617587526,1.10644990000168,7.32677868889698,3.40346537722515e-12,4.77959987808318e-09
"msc",2.61036772996068,1.19412766814014,7.28384399754645,4.36364469217848e-12,5.51521052644439e-09
"ig gamma-3 chain c region ",2.3333631439778,8.55564122443763,7.01557731720471,2.02551730146364e-11,2.32731937938173e-08
"mmp28",2.73435958957853,0.391587951540638,6.71778684642405,1.0724634361211e-10,9.68204669223895e-08
"il25",2.43496531484903,-1.99980459682382,6.41437899771508,5.61338201653528e-10,4.43422095668684e-07
"ighe",2.17573280153335,8.88776656682691,6.00468372445733,4.87418743070959e-09,3.42249194092992e-06
"cd8b",1.68148121963109,5.87343744690045,5.73861358567894,1.89047843690154e-08,1.19468784819993e-05
"ccl4",1.90050250207793,3.83895146610806,5.51996383717985,5.58865493522437e-08,3.2106822602864e-05
"ig gamma-2a chain c region secreted form ",2.16190969282407,5.50804614228105,5.4169978993715,9.22102868699407e-08,5.06715572064861e-05
"sh3rf2",2.32264704908285,-1.15285263230534,5.23610094632844,2.18849509750398e-07,0.000115251623072303
"slurp1",2.0995297005565,1.03949033761702,4.91422386705454,9.68829854102349e-07,0.000489801621039984
"gask1b",1.79128526193981,-0.552008813846387,4.40425374649738,8.90946309234603e-06,0.00402166800086291
"gpr55",1.55002965643272,2.57011107603998,4.32928424273844,1.21629803407721e-05,0.00530096236300065
"igh-1a",1.53571736243589,5.87469691577111,4.19780588188543,2.07970348513426e-05,0.00847915237051996
"jakmip1",1.60842552000154,0.576839525871281,4.18412618517183,2.19753299840777e-05,0.00867956861464869
"trgc1",1.69753745561003,5.85173854809881,4.15051941077727,2.514712623329e-05,0.00963134934735008
"septin3",1.61569542659306,2.25134618973985,3.73004277362785,0.000126787834150685,0.042170300942908
