"","logFC","AveExpr","t","P.Value","adj.P.Val"
"slc14a2",4.02944603034462,-2.08951765061425,14.5684089510684,1.37038787420332e-32,8.6601661710279e-29
"ighe",3.58983321917584,8.86878252670313,13.0120745241448,4.96399216698827e-28,1.56849742496412e-24
"iglv1-40",2.72419496717337,8.52864276848564,11.8926586695367,9.35289335883077e-25,2.36422438324524e-21
"ighv3-23",2.78663430272683,4.45769294091034,11.8137439826232,1.58825291783777e-24,3.34565477142526e-21
"sybu",3.73249639565061,-1.72281212885021,11.4081007731747,2.39907495713911e-23,4.3317011976116e-20
"ig gamma-3 chain c region ",3.23736546435649,8.557945510962,11.3402665691943,3.77281611404954e-23,5.96057785818401e-20
"igll5",2.54626267630008,10.4785620278571,10.7889324993249,1.47026126120704e-21,2.06473689782175e-18
"il25",3.11009853447989,-2.00814663782847,10.3119583605837,3.39389996131033e-20,3.89959105554557e-17
"ighg1",3.01654092182724,9.22372664896682,9.90939526365984,4.67400387534871e-19,4.54421038311787e-16
"zmat1",2.81851671617467,-1.37229829754932,9.72955758379961,1.494601814133e-18,1.34930516634479e-15
"kcns3",2.25185500464238,2.71894607251903,9.63782954431133,2.69766411915916e-18,2.27305178680351e-15
"ighv3-74",2.3428128684592,7.79443758300593,9.45433575074854,8.74577598709362e-18,6.90861641880477e-15
"emx2",3.75610211050534,-2.28342803776667,9.1472995003834,6.15782289909962e-17,4.57816021304236e-14
"ig gamma-2a chain c region secreted form ",2.78168948177637,5.48730672573701,8.94363478069795,2.2200948560555e-16,1.5588766047603e-13
"jchain",2.32522417953857,6.37449622056173,8.66875026994822,1.23242405213365e-15,8.19821452364064e-13
"iglv2-11",2.53721812735447,6.52219270770227,8.39923407010808,6.4832664973596e-15,4.0971002630064e-12
"slc13a2",2.9008662259033,-1.01007700029021,8.24253982419652,1.68536461946307e-14,1.01434873454256e-11
"hoxb7",2.3002800413233,-0.669198492849533,7.89169772355451,1.39095885498164e-13,7.43283736764069e-11
"pzp",3.44675493003949,-2.03500632108624,7.87037467621812,1.57923174778276e-13,7.98396402409052e-11
"maneal",1.92008506527494,-0.0956946575665842,7.76935404123844,2.87541516825046e-13,1.35428166243349e-10
"tlx2",2.63365732986498,-3.48086704358081,7.76831858492832,2.89307737049641e-13,1.35428166243349e-10
"slurp1",2.36988160673479,1.02733584582816,7.09273445617034,1.44232638491722e-11,5.69673849342774e-09
"hrh1",2.43871494106738,-2.46286809781592,7.06248869993002,1.71086228959177e-11,6.55260256913647e-09
"olfr6",2.1555425639586,-0.256129637476713,6.87920063442446,4.77449631829078e-11,1.72413882762506e-08
"ddr2",3.25018021343649,1.1351405111421,6.86558131642769,5.14982609672007e-11,1.80801811212347e-08
"wif1",1.91911175791458,-0.093888271593063,6.68278303624159,1.410618675729e-10,4.3484901079363e-08
"st8sia6",2.29359960108233,-4.02526566644487,6.51111266522775,3.58344176267089e-10,1.02934364632721e-07
"cdx2",2.29218790502084,-3.80504861425004,6.32255605433734,9.81655076725463e-10,2.58482052390274e-07
"vit",2.12732246842385,1.17169599270638,6.2127478649873,1.75112985248195e-09,4.3397118050038e-07
"nxf3",2.34582430930244,-2.92988998569403,5.94587465748098,6.96643696517585e-09,1.60088721459741e-06
"fam131b",2.01376939165348,2.23685182414065,5.84752338051796,1.14786321001797e-08,2.52417450513886e-06
"iglv3-1",2.00353495350158,5.39660611117448,5.66754431001863,2.82369968326032e-08,5.756248434956e-06
"igh-1a",1.65404488420784,5.86276801939234,5.61676439675227,3.62823991408939e-08,7.27894036098029e-06
"zc2hc1a",2.03666851389762,-2.09015405341324,5.48985918842262,6.74532104042282e-08,1.30397949105261e-05
"tmprss3",2.26200648378003,-1.81659919839307,5.42455394631806,9.24722745299495e-08,1.74441354893139e-05
"gzmk",1.86573899268578,5.27070434600318,5.36718079685915,1.21753892433519e-07,2.26301095068712e-05
"msc",2.01630167500517,1.18844718706122,5.26588931950157,1.96940742613948e-07,3.60744064622853e-05
"mzb1",1.77148753905383,3.81661128528969,5.22920354617293,2.34055156293255e-07,4.22603302912921e-05
"dstn",1.88372974268071,-0.628486562209457,5.08454635973193,4.586845006831e-07,8.05182417240792e-05
"znf503",1.84384212891053,-0.277174304527339,5.08088078911897,4.6649346988494e-07,8.07672735051473e-05
"insrr",1.89578682960456,-1.37232852373252,5.04651042246984,5.46277516825955e-07,9.3302723448152e-05
"nags",1.88274213984442,-2.40803972839978,5.01249041793513,6.38215076765188e-07,0.000107552004736469
"pls3",1.88894779338666,-0.416602900060174,4.99056960944758,7.05226326089249e-07,0.000117280993887395
"cdkn2a",1.53895015193308,1.87773676082955,4.95884964136659,8.14406315015619e-07,0.000133678979421849
"trgc1",1.79885086648235,5.85383384486009,4.81278650573011,1.56715835128635e-06,0.000253939928229592
"kcnip3",1.87166331059286,-3.9968203667304,4.76138023048404,1.96672606902177e-06,0.000314570572447066
"pnma8c",2.15108308051707,-2.57039064496793,4.75857989046528,1.99111051473734e-06,0.000314570572447066
"mapt",2.03957659588312,-2.82461860675258,4.74453495766012,2.11788306714932e-06,0.000326991479213262
"hgd",1.96163929626909,-3.63762526836566,4.67856861375519,2.82525726275625e-06,0.000425100315999717
"fam89a",1.79412582428127,-1.52387106223623,4.65771980198204,3.09282679088018e-06,0.000454537648952727
"cga",1.79891823200155,0.230826530124858,4.57609003462076,4.39557101687641e-06,0.000617284689803344
"ildr1",1.75811343082603,-2.08687311579685,4.56453388166535,4.61818509922211e-06,0.000641420235923827
"rap2c",1.9735742520598,-2.79345172455352,4.39949347965874,9.26051212612484e-06,0.00121088060439227
"mmp28",1.9830285643691,0.381058946907242,4.39864906796619,9.29309428167181e-06,0.00121088060439227
"tmem229a",1.96837775276925,-0.400085207108954,4.32807093794214,1.24423179135398e-05,0.00160467812356357
"c4orf50",1.88245675622683,-2.55018426697433,4.32019141276051,1.28516411132008e-05,0.00164072618211864
"sdk2",1.71312583298747,-0.701268966488151,4.29322121005315,1.43526829841797e-05,0.00181403560237047
"tnfrsf13b",1.41055907182455,3.1032188568439,4.23283363086358,1.8346583512676e-05,0.00227335753937953
"tnfrsf17",1.78371816654192,-0.129486740262756,4.21280966324152,1.98914455935464e-05,0.0024173844313157
"thy1",1.82261596352603,2.03555116867355,4.18765873614965,2.20087119969659e-05,0.00264922010409193
"vwa5b2",1.60054135546755,0.630046915979468,4.1815947736605,2.25505440319318e-05,0.00268883326433572
"bco2",1.47563610091353,2.8857186571897,4.16627038296543,2.39772561815629e-05,0.00280600500813679
"cnga3",1.82661392840197,-3.30115094626425,4.16282770250964,2.430943900799e-05,0.00281877981304574
"iglv3-21",1.67931914601902,5.77880301933114,4.00033418699694,4.60961387640952e-05,0.00529644634399454
"fabp4",2.34065278650083,-1.66650806246085,3.98925342917702,4.81189697678558e-05,0.00547905999005342
"mgll",1.54646783618473,2.09353702041446,3.9804278647159,4.97902839015317e-05,0.0056187446270666
"mag",1.91386163707557,-3.4036399973907,3.97808151032971,5.02438300777457e-05,0.00561975016241264
"il7",1.66039491748111,0.74355410170843,3.9540580329653,5.51194416363125e-05,0.00611100546352065
"nos2",1.59916002813671,0.767121673415737,3.91404921024596,6.42523741876035e-05,0.00700073928756139
"hsf4",1.43635348665067,2.79887410198593,3.85298968061825,8.10093176238908e-05,0.00867692174108776
"apbb2",1.69430817847693,-2.16028775460079,3.73957477352951,0.000123691043439624,0.0130277591502784
"gpr25",1.50130329062637,2.32182827869022,3.70867674015105,0.000138579671095581,0.0144752765535293
"card14",1.65674875193825,-1.75900644521944,3.69679327304741,0.000144744571545889,0.0149953003259713
"rai2",1.59898764064084,2.23406128511878,3.58286576326282,0.000218528518309337,0.0224551377472497
"amn",1.77799921440422,-1.3948034535924,3.57448511652004,0.000225165732450553,0.0229202416949177
"rcn3",1.43549217896421,1.58057040102398,3.54365806635339,0.000251247905383256,0.0248087677823357
"nr0b1",1.75047737519169,-2.9237507269049,3.51476024944279,0.000278254102942401,0.0272319342446063
"prox1",1.75493681497543,-3.1145522224072,3.51288517802601,0.000280097432692366,0.0272319342446063
"sspn",1.63791443134047,-2.76575235784008,3.47351439238198,0.00032155292964264,0.0303291602817413
"rxrg",1.58487550962506,3.19946012851305,3.468586737345,0.000327129053531425,0.0306265489450643
"peli3",1.40798885369716,-0.58140080488073,3.43919471344945,0.00036231752264949,0.0336715527115214
"tktl1",1.66403592163474,-1.69077676245419,3.3691552104086,0.000460967623595061,0.0419148906087624
"znf391",1.67969544316582,-3.76713020558154,3.36688941062185,0.0004645436267308,0.0419383349875042
