"","logFC","AveExpr","t","P.Value","adj.P.Val"
"slc14a2",3.9827704896956,-2.08951765061425,15.8622850293148,5.02216957257244e-36,3.17376006138715e-32
"ighe",3.53874893672784,8.86878252670313,14.3543993983605,1.04121222467344e-31,3.28997032691191e-28
"ighv3-23",2.7434329839709,4.45769294091034,13.1367967835425,3.42147066584866e-28,8.64879354913225e-25
"iglv1-40",2.68793594989357,8.52864276848564,12.9415426123755,1.25588518798208e-27,2.64552214848426e-24
"sybu",3.71989435455062,-1.72281212885021,12.5571680927678,1.62281052447052e-26,2.93010031696899e-23
"ig gamma-3 chain c region ",3.17841674334807,8.557945510962,12.4452155000032,3.41768580773865e-26,5.3995163655011e-23
"igll5",2.50026991891355,10.4785620278571,11.7172026005796,4.28942317623948e-24,6.02377994716565e-21
"il25",3.12712266389043,-2.00814663782847,11.6053423707038,8.99128895186787e-24,1.13640901062658e-20
"ighg1",2.9615527840759,9.22372664896682,10.8685502002162,1.1490813217015e-21,1.11717221730655e-18
"zmat1",2.78875560185999,-1.37229829754932,10.8066350354968,1.72325710558088e-21,1.55573189695977e-18
"kcns3",2.2352905304936,2.71894607251903,10.6285038279702,5.51626395388398e-21,4.64800400754264e-18
"ighv3-74",2.30839990674198,7.79443758300593,10.3090381242963,4.40068225245764e-20,3.47626393680076e-17
"ig gamma-2a chain c region secreted form ",2.75810347441636,5.48730672573701,9.96663086387706,4.00948943400173e-19,2.98093746802046e-16
"emx2",3.75080931246935,-2.28342803776667,9.81379194617316,1.06842821314655e-18,7.50214676997737e-16
"jchain",2.29317383547543,6.37449622056173,9.38754349878106,1.6069323866385e-17,1.06894833866968e-14
"iglv2-11",2.46344608847684,6.52219270770227,9.25144602354759,3.78911496479823e-17,2.39453120200424e-14
"slc13a2",2.89067376889545,-1.01007700029021,9.14968324347176,7.17705959291537e-17,4.31956458070749e-14
"maneal",1.93869652201052,-0.0956946575665842,8.7935472812978,6.58422956815166e-16,3.78263988690313e-13
"hoxb7",2.32805404378392,-0.669198492849533,8.78480581612573,6.94961298178975e-16,3.81896341203655e-13
"tlx2",2.62667173735593,-3.48086704358081,8.76804306136042,7.70753793122777e-16,3.89662287651151e-13
"pzp",3.38980885764857,-2.03500632108624,8.57921868442018,2.46092243180733e-15,1.15198513391158e-12
"slurp1",2.39882390618268,1.02733584582816,8.00266631993724,8.00287899720888e-14,3.16088711392884e-11
"hrh1",2.44563395172269,-2.46286809781592,7.98231779604391,9.03239727536452e-14,3.45940815646461e-11
"olfr6",2.19067417841661,-0.256129637476713,7.82687385400124,2.26635312593644e-13,8.42483445844431e-11
"ddr2",3.21928759990825,1.1351405111421,7.48273822455143,1.68615420832986e-12,5.60823764186344e-10
"wif1",1.90361209769575,-0.093888271593063,7.23672501690907,6.89130219694995e-12,2.07378972541072e-09
"st8sia6",2.26842081389132,-4.02526566644487,7.10081198625533,1.48473902887894e-11,4.17013701911133e-09
"cdx2",2.26273564707902,-3.80504861425004,6.85186652012396,5.93784842809378e-11,1.5316013527077e-08
"fam131b",2.03226598427579,2.23685182414065,6.66083659416309,1.68916285263909e-10,4.10564024894336e-08
"vit",2.06768277646834,1.17169599270638,6.51999061468535,3.61287062958015e-10,8.15411997986848e-08
"nxf3",2.3157465427815,-2.92988998569403,6.50672837039879,3.87915512035349e-10,8.60151606423644e-08
"igh-1a",1.67060618603362,5.86276801939234,6.36654173718039,8.18446640185002e-10,1.7532791669997e-07
"iglv3-1",1.9479753650043,5.39660611117448,6.26831275244075,1.37324065948836e-09,2.7994175314957e-07
"msc",2.0461475143479,1.18844718706122,6.16711086742186,2.32886821540991e-09,4.59915083977591e-07
"zc2hc1a",2.02356893694681,-2.09015405341324,6.08013834906487,3.65176452600254e-09,7.10071566833017e-07
"gzmk",1.85073833796382,5.27070434600318,6.02361865974615,4.88154957813378e-09,9.20864255493027e-07
"znf503",1.88138055413971,-0.277174304527339,5.90737977044344,8.8213958682453e-09,1.61584959969206e-06
"cdkn2a",1.55339033742357,1.87773676082955,5.68525393518539,2.67861868185441e-08,4.83643735999398e-06
"tmprss3",2.16275025891556,-1.81659919839307,5.64234005483737,3.30944589176344e-08,5.80945647583307e-06
"mzb1",1.75086330568648,3.81661128528969,5.58572838056888,4.36751581748135e-08,7.56178526262285e-06
"pls3",1.86666087481081,-0.416602900060174,5.54549535661545,5.31351685432905e-08,9.07534317863039e-06
"nags",1.85087606705554,-2.40803972839978,5.39622196228826,1.09093343414167e-07,1.83844102321555e-05
"trgc1",1.78174053774367,5.85383384486009,5.35794293901663,1.30922020829073e-07,2.17726765955087e-05
"kcnip3",1.86897380595121,-3.9968203667304,5.34652118618695,1.38221889930945e-07,2.26881359329508e-05
"insrr",1.85104970657632,-1.37232852373252,5.33657814859045,1.44898267430746e-07,2.33447641636758e-05
"dstn",1.833315711991,-0.628486562209457,5.33510131647616,1.45916320035635e-07,2.33447641636758e-05
"cga",1.8095790673069,0.230826530124858,5.32669144331853,1.51847797698947e-07,2.39900539389624e-05
"pnma8c",2.16316062715545,-2.57039064496793,5.2604575996726,2.0752075584621e-07,3.19860345504909e-05
"mapt",2.03073506783459,-2.82461860675258,5.25705961691734,2.10858190251945e-07,3.21088755011366e-05
"hgd",1.93336608007432,-3.63762526836566,5.15489974685618,3.39552387770741e-07,4.99023561515628e-05
"tmem229a",1.98522369457449,-0.400085207108954,5.09448490125117,4.48729053322764e-07,6.4448710283482e-05
"mmp28",2.00448329759164,0.381058946907242,5.02343114840719,6.21072924566535e-07,8.8199333635915e-05
"ildr1",1.73017587137002,-2.08687311579685,4.92512299219521,9.68741021751919e-07,0.000134548546966181
"thy1",1.85304192056779,2.03555116867355,4.89260298349354,1.12071454457132e-06,0.00015230872181545
"sdk2",1.72117591350916,-0.701268966488151,4.86523545482012,1.26628245946374e-06,0.000170261106437896
