"","logFC","AveExpr","t","P.Value","adj.P.Val"
"il17rb",1.66968993597361,3.76508185458112,6.65810371197191,1.47091880545507e-10,6.19698092738219e-07
"slc18a2",2.00096445747209,2.85688172355415,6.39572336346804,6.13472132570991e-10,1.29227904726079e-06
"pi15",2.97176515995536,-1.35906474523661,6.33939944380844,8.29833282785315e-10,1.4983232658748e-06
"scin",2.12430655604937,0.736991672976613,5.969107270845,5.8031319463933e-09,8.14953163005166e-06
"hlf",1.63568532057114,-0.195158190887001,5.88579867207279,8.89793622695327e-09,9.93440154314863e-06
"epx",2.82397601774084,3.28381374834374,5.69925784008653,2.28473601462894e-08,2.06262703492108e-05
"alox15",2.4517922974332,6.98257398234696,5.68013725950102,2.51379437412742e-08,2.11812313963976e-05
"cacna1d",1.67189981831931,2.28126762312679,5.64719370878605,2.96215135353827e-08,2.33991443483564e-05
"slc1a1",2.31400758450578,-2.74661838675883,5.48780222961187,6.4952378664795e-08,4.82901831731967e-05
"ms4a2",1.4884393742449,3.6351320001716,5.33951621380382,1.33029421476105e-07,9.34088254464715e-05
"mmp3",2.18356754094398,3.74276171319126,5.28381089842574,1.73547452628346e-07,0.000109673312688483
"abcb11",2.9236324181555,-0.169484962644823,5.2524420810522,2.01410930729951e-07,0.000115710579704357
"il13",2.22243925138316,-2.21431501567423,5.23562063772492,2.18094419831589e-07,0.000119847624880498
"maob",1.93684868392732,-1.16241959251069,5.13266688969922,3.53621263170026e-07,0.000186225797716915
"ttc16",1.18466687648471,3.46881869420468,5.07829327559415,4.55227036679408e-07,0.000230144580663642
"hk3",1.22105643693568,7.77821356379424,4.99070586367742,6.81098590700954e-07,0.000331092503379591
"klhdc7a",1.82491627095342,-1.75620756479453,4.92731480300632,9.08912724059928e-07,0.000425472145162719
"saxo1",1.80390896930935,0.2176170838159,4.91129390213983,9.7726921386363e-07,0.000437414419615912
"prg2",2.59675501708387,3.96035134241179,4.905213053429,1.00450166731271e-06,0.000437414419615912
"mmp1",1.73403804818807,10.8099010622275,4.89789250602953,1.03824927513865e-06,0.000437414419615912
"kalrn",1.42286018724838,2.68215878660943,4.81752577687507,1.48894379831468e-06,0.000588086270840602
"kiaa1522",1.40708877720189,1.25720284846827,4.76177408973324,1.9072905953356e-06,0.000709007230424903
"ms4a4a",1.85544611449345,1.29635558985621,4.73148293324548,2.18007193191733e-06,0.000759590053664685
"chrna4",2.05360253238147,-2.94613216247589,4.72698524111209,2.2236594655901e-06,0.000759590053664685
"abcc8",1.40587171107756,0.621771588632873,4.69843190467582,2.52064656984107e-06,0.000816883384518495
"gata2",1.55244558767109,5.5562282641044,4.68729763284581,2.6465376531472e-06,0.000836239734953185
