"","logFC","AveExpr","t","P.Value","adj.P.Val"
"slc14a2",4.0164096112783,-2.06753505735828,15.1547032390983,7.30860110690742e-35,3.0791136463401e-31
"sybu",3.74946136111679,-1.70869817222373,13.1438035982805,8.22391011018632e-29,2.59854999706612e-25
"ighe",3.60911807736652,8.89208024846462,11.3530014863165,1.88403974418226e-23,3.96872972111994e-20
"il25",3.29461985077695,-1.98044911734413,11.0719440410326,1.27678632983291e-22,2.30532891753688e-19
"ighv3-23",2.78707769281613,4.47435755985132,10.9258140006276,3.43996282514673e-22,5.43471126837869e-19
"iglv1-40",2.71017677353641,8.55332197891929,10.5425375770962,4.56520456578513e-21,6.41106894521759e-18
"zmat1",2.8727090000994,-1.35183160844709,10.3443811643772,1.72259673505468e-20,2.17719001343561e-17
"emx2",3.83712139489493,-2.28480755795186,10.2079413660386,4.28165494766415e-20,4.91962153486611e-17
"ig gamma-3 chain c region ",3.1812243021051,8.55700845181198,9.75938484167119,8.33631470721154e-19,8.10482166034205e-16
"kcns3",2.24145730971315,2.74787400015128,9.6612257422437,1.58768729728081e-18,1.43334141073801e-15
"igll5",2.52646441914051,10.5053310045261,9.57315370681561,2.82504931163426e-18,2.38038654998303e-15
"slc13a2",2.94906866066968,-1.02135685667928,9.16574732119975,3.96698699894989e-17,3.13367179248298e-14
"tlx2",2.70381213429403,-3.44681196307052,9.04175210481194,8.79258700904033e-17,6.53702983572122e-14
"slurp1",2.69517090895358,1.07004209258557,8.99519173003146,1.18428021119272e-16,8.31562088292486e-14
"maneal",1.99385957847234,-0.102482427605686,8.72942361282419,6.40817109852937e-16,4.04964372571564e-13
"hoxb7",2.30544410628432,-0.66204429230417,8.72011980853066,6.79587821782235e-16,4.09014784738365e-13
"ighg1",2.96550939037203,9.23226649259839,8.56981177638503,1.74923900469373e-15,9.21192990846833e-13
"ig gamma-2a chain c region secreted form ",2.86694276527879,5.49105275300951,8.53228315470884,2.21260746119513e-15,1.11860582808181e-12
"pzp",3.41092628987023,-2.01322528196568,8.44114785280614,3.9079254085132e-15,1.89970266300763e-12
"jchain",2.31194216768512,6.42080423649917,8.31028814953542,8.803646499327e-15,3.97390314660693e-12
"ighv3-74",2.28808848998041,7.80351131822025,8.16967167293671,2.09388288889384e-14,8.82152861090975e-12
"iglv2-11",2.46153979810173,6.5482978481969,7.47826112598583,1.33822550243445e-12,4.45100845401817e-10
"olfr6",2.32477455388257,-0.262417097697254,7.36564119097923,2.58844042266605e-12,8.17882462551904e-10
"hrh1",2.39147889421257,-2.44378754882351,7.3253825765093,3.27270212356839e-12,1.00887029609222e-09
"ddr2",3.24433847689116,1.15304504954324,7.31403376562576,3.49598719675005e-12,1.05204243285057e-09
"msc",2.44785057300804,1.19649414621044,7.13822472266418,9.6509879955563e-12,2.77224630172355e-09
"cdx2",2.27821624121407,-3.79447743692996,6.87616181627118,4.27561075959157e-11,1.1028458038873e-08
"mmp28",2.52953348340151,0.410848036590339,6.72381219816437,1.00119872754362e-10,2.43349052258151e-08
"wif1",1.89928083525611,-0.101530890617212,6.42412787578088,5.16720216780641e-10,1.14575909120886e-07
"st8sia6",2.18778430825963,-3.99080498213218,6.25139695663082,1.3037022474994e-09,2.74624878435749e-07
"nxf3",2.29467406875598,-2.91328696218846,6.0601150681076,3.56748441892087e-09,7.15705326519696e-07
"zc2hc1a",2.06184138352035,-2.08851023017674,5.97507423111224,5.54605607685535e-09,1.09525941805273e-06
"cdkn2a",1.59700482945989,1.90827709061118,5.94193898936315,6.57933728483083e-09,1.27932682989195e-06
"cga",2.01280490721655,0.250760160429878,5.68745344765296,2.3940941950155e-08,4.51626216877626e-06
"pls3",1.92548728117766,-0.400061569440535,5.60383165624109,3.63042384347928e-08,6.64998941416443e-06
"tmprss3",2.1462759987789,-1.79493214471796,5.43226845575936,8.42049638104329e-08,1.52038076800009e-05
"dstn",1.86448325827881,-0.602339133897154,5.41005711362042,9.37742041907328e-08,1.64612800939816e-05
"fam131b",1.93803792668547,2.23628290424696,5.35391248632699,1.22932451184045e-07,2.12841541166459e-05
"vit",2.0645612373328,1.18763480839314,5.31892363254225,1.45385757226497e-07,2.48314943998068e-05
"znf503",1.83956365647497,-0.28944164908409,5.23108534635232,2.20791891011249e-07,3.67182725064628e-05
"insrr",1.90858740593701,-1.36051242030315,5.22093293879895,2.31644978779854e-07,3.75353959845971e-05
"gzmk",2.01912578636196,5.27109695150148,5.20574968983339,2.48849893743299e-07,3.98128330002728e-05
"iglv3-1",1.9696622778381,5.42113853494497,5.06761905603696,4.74372496462155e-07,7.31169997900631e-05
"trgc1",1.86988987360303,5.8572266313116,4.98453577092834,6.95202331533121e-07,0.000103372497273496
"mapt",1.97687405334408,-2.83105850321289,4.97671966930238,7.2048999503867e-07,0.000105886895898765
"mzb1",1.76013126017833,3.85494123442431,4.91659449138011,9.47145316025606e-07,0.000137597352290203
"nags",1.82196310357425,-2.39392679794122,4.89276887859289,1.05488862815067e-06,0.00015150837921814
"sdk2",1.73009862524223,-0.693160473244094,4.84996001017921,1.27900527817088e-06,0.000181633120346087
"rap2c",1.96191007713143,-2.80783304571708,4.81964087001106,1.46491432465626e-06,0.000203462111531105
"pnma8c",2.11645941141662,-2.57988520829626,4.81660016786486,1.48493962218689e-06,0.000204001650921957
"vwa5b2",1.68447935765289,0.623492244089961,4.72074774419338,2.27103468431461e-06,0.000308640939516693
"c4orf50",1.96703703051819,-2.53412100986015,4.64441638027766,3.17143371625503e-06,0.000426422880210077
"nos2",1.63557621117574,0.761116806812525,4.54472563322845,4.87636835629889e-06,0.000648762312160649
"nr0b1",1.91795919035063,-2.91531601388604,4.47003383997959,6.7011983043959e-06,0.000873159230610926
"ildr1",1.76392434502658,-2.05853686300595,4.39082407420896,9.34828176198681e-06,0.00120564217540563
"mag",1.92067738377652,-3.37274771906349,4.37646823795724,9.92504162238609e-06,0.00126709698045796
"fabp4",2.34280009165572,-1.61827166282112,4.34275654870248,1.14167718561809e-05,0.0014429657949027
"thy1",1.8383357124973,2.06732751441887,4.2446539624848,1.70817573084625e-05,0.0021166306923692
"rai2",1.70469202121173,2.26810192033089,4.22004923712805,1.88780561709301e-05,0.00231650244606199
"tmem229a",1.97241711918929,-0.380067333780947,4.19772467670407,2.06631229246968e-05,0.00248724962519279
"kcnip3",1.74586528532097,-3.97428022032291,4.1582739475281,2.42191441288166e-05,0.00286080152003844
"hgd",1.77175799120925,-3.61553608611932,4.10301547876128,3.01953635689092e-05,0.00353369629766151
"igh-1a",1.63597400607928,5.86531199209298,4.07538274034754,3.36882906387614e-05,0.00390629637966335
"ccl5",1.89857303856858,-3.50014800689008,4.05554250370158,3.64303916714697e-05,0.00414814162464599
"cnga3",1.77653414574557,-3.27339053970277,3.98873121178386,4.73145118250668e-05,0.0053393581692591
"fam89a",1.72377466215311,-1.49533368342285,3.96032405279132,5.28247963352946e-05,0.00585660176212096
"iglv3-21",1.71801595155075,5.79317998318922,3.94946471178206,5.50883109854551e-05,0.0060544448916971
"amn",1.79426222989576,-1.36880990004286,3.88379841322942,7.08670465027754e-05,0.00772145345472912
"gpr25",1.51879809075026,2.33575836287632,3.85513370799636,7.90242719258007e-05,0.00839317456193441
"card14",1.62995568206411,-1.74002854294093,3.74875889233498,0.000117770683020607,0.0121016557942882
"tnfrsf17",1.66939401943459,-0.0811461283646617,3.7463732441105,0.000118817731345463,0.0121107847296396
"tnfrsf13b",1.37715867642588,3.13141264657878,3.58410782090055,0.00021477496026116,0.0212073493964125
"il7",1.58413926978548,0.773746959651622,3.55947799086482,0.000234559403281754,0.022804586908293
"spink7",1.73519070980431,-3.71473868499221,3.54280285687768,0.000248913516968436,0.0240154041294966
"sprn",1.54202163921374,-0.543826616473629,3.44669012764173,0.000349086133759532,0.0326822195895312
"prox1",1.70064339339407,-3.09560585955285,3.43940818166289,0.000358043617009311,0.0332743623189756
"peli3",1.37233257500498,-0.579177716075319,3.43249827436306,0.000366742075410915,0.0338339641687486
"apbb2",1.68994694802347,-2.15701822691373,3.41213113135623,0.000393545829576673,0.0357843578418674
