"","logFC","AveExpr","t","P.Value","adj.P.Val"
"slc14a2",4.11196054903483,-2.08951765061425,14.638822272478,5.9586334811183e-33,3.76555842839271e-29
"sybu",3.76727306661596,-1.72281212885021,12.2301776672744,7.71647019438849e-26,2.4382116696719e-22
"il25",3.46856820547844,-2.00814663782847,11.4058859837266,2.02049431589752e-23,5.10740553172576e-20
"ighv3-23",2.89159523026983,4.45769294091034,10.9855518972708,3.37980357575604e-22,7.1195562323301e-19
"ighe",3.59330329237493,8.86878252670313,10.7194155315967,1.99083725668896e-21,3.59459886961312e-18
"iglv1-40",2.75477270600008,8.52864276848564,10.1270184663386,9.95268047872546e-20,1.39768809522901e-16
"kcns3",2.32782590145322,2.71894607251903,9.71900284768477,1.42315487402013e-18,1.79872544527404e-15
"zmat1",2.85788242455992,-1.37229829754932,9.66200201016721,2.05848987150231e-18,2.36520486235615e-15
"emx2",3.80702964434811,-2.28342803776667,9.60972507860805,2.88607386696719e-18,2.80592981573833e-15
"ig gamma-3 chain c region ",3.22579003875639,8.557945510962,9.51904865997074,5.1793749066015e-18,4.67586567460974e-15
"igll5",2.56438968816434,10.4785620278571,9.1940094381428,4.15119945180905e-17,3.49780065809431e-14
"slc13a2",2.95216173415055,-1.01007700029021,8.62377702998744,1.50161998019927e-15,1.18618593310866e-12
"slurp1",2.68085554954483,1.02733584582816,8.50671358300476,3.10234707950697e-15,2.30650380811109e-12
"hoxb7",2.35159684119781,-0.669198492849533,8.47407101461079,3.79533836881745e-15,2.66496009130465e-12
"ighv3-74",2.37401059007106,7.79443758300593,8.39410515462768,6.21100086756899e-15,4.13162315606339e-12
"ig gamma-2a chain c region secreted form ",2.8775301520212,5.48730672573701,8.35225255186629,8.03119898143268e-15,5.07531619631638e-12
"jchain",2.35787816585621,6.37449622056173,8.25813709033014,1.4286155617559e-14,8.59822480239655e-12
"tlx2",2.65618804418825,-3.48086704358081,8.20189997075257,2.01278167826443e-14,1.15634307416291e-11
"pzp",3.50062876200937,-2.03500632108624,8.16858463271883,2.4648249929718e-14,1.28336248380215e-11
