"","PC1","PC2","SampleID","lib.size","norm.factors","Sample","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","ID_tp","ID_tp.1","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage"
"C1_FWB_pup_start_2018A",-0.268134834883911,-29.0067558772259,"C1_FWB_pup_start_2018A",11886510.0275422,0.725878592273567,"C1_FWB_pup_start_2018A","C1","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F1_C1","F1","M",NA,NA,"2018_2019","C1_1","C1_1","1","10-12-2018",10,0,"2to5","blood","FWB","Pup"
"C1_FWB_pup_end_2018B",-66.6541998133714,-36.9599336086749,"C1_FWB_pup_end_2018B",30842738.6170758,1.43403534561864,"C1_FWB_pup_end_2018B","C1","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F1_C1","F1","M",NA,"not sure about delta days","2018_2019","C1_2","C1_2","2","02-02-2019",64,54,"57","blood","FWB","Pup"
"C11_FWB_pup_start_2018B",-75.8559064577474,6.69048256883733,"C11_FWB_pup_start_2018B",29668353.4273468,1.48045211698226,"C11_FWB_pup_start_2018B","C11","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F11_C11","F11","F",NA,NA,"2018_2019","C11_1","C11_1","1","18-12-2018",18,0,"2to5","blood","FWB","Pup"
"C14_FWB_pup_start_2018B",40.8282666117971,25.7183467114514,"C14_FWB_pup_start_2018B",13656587.6967012,0.625500060009237,"C14_FWB_pup_start_2018B","C14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F14_C14","F14","M",NA,NA,"2018_2019","C14_1","C14_1","1","20-12-2018",20,0,"2to5","blood","FWB","Pup"
"C14_FWB_pup_end_2018B",-32.4258192780932,14.8794283600634,"C14_FWB_pup_end_2018B",23105004.4878128,1.12613203334802,"C14_FWB_pup_end_2018B","C14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F14_C14","F14","M",NA,"not sure about delta days","2018_2019","C14_2","C14_2","2","07-02-2019",69,49,"52","blood","FWB","Pup"
"C15_FWB_pup_start_2018B",-29.2067145662863,44.3371414696996,"C15_FWB_pup_start_2018B",30793930.6285769,1.24101904852607,"C15_FWB_pup_start_2018B","C15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F15_C15","F15","M",NA,NA,"2018_2019","C15_1","C15_1","1","20-12-2018",20,0,"2to5","blood","FWB","Pup"
"C16_FWB_pup_start_2018B",-4.20730393789313,6.6900342466337,"C16_FWB_pup_start_2018B",30943331.5637802,1.21063590397825,"C16_FWB_pup_start_2018B","C16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","F16_C16","F16","M",NA,NA,"2018_2019","C16_1","C16_1","1","20-12-2018",20,0,"2to5","blood","FWB","Pup"
"C17_FWB_pup_start_2018B",-60.8253598043666,9.38270227761237,"C17_FWB_pup_start_2018B",28984294.5905652,1.29837308695628,"C17_FWB_pup_start_2018B","C17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F17_C17","F17","M",NA,NA,"2018_2019","C17_1","C17_1","1","20-12-2018",20,0,"2to5","blood","FWB","Pup"
"C17_FWB_pup_end_2018B",-38.1431339514762,-37.3284973763307,"C17_FWB_pup_end_2018B",26121967.507918,1.39635204733313,"C17_FWB_pup_end_2018B","C17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F17_C17","F17","M",NA,"not sure about delta days","2018_2019","C17_2","C17_2","2","11-02-2019",73,53,"56","blood","FWB","Pup"
"C18_FWB_pup_start_2018B",-30.7036223124258,25.1527688913028,"C18_FWB_pup_start_2018B",28480519.3159153,1.15699943777404,"C18_FWB_pup_start_2018B","C18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F18_C18","F18","F",NA,NA,"2018_2019","C18_1","C18_1","1","20-12-2018",20,0,"2to5","blood","FWB","Pup"
"C18_FWB_pup_end_2018B",-3.56316555054179,-57.0370428480327,"C18_FWB_pup_end_2018B",31953589.0098181,1.2693083693144,"C18_FWB_pup_end_2018B","C18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F18_C18","F18","F",NA,"not sure about delta days","2018_2019","C18_2","C18_2","2","11-02-2019",73,53,"56","blood","FWB","Pup"
"C19_FWB_pup_start_2018B",-45.306530586529,29.5785657381973,"C19_FWB_pup_start_2018B",27696566.0695207,1.19131726063452,"C19_FWB_pup_start_2018B","C19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F19_C19","F19","F",NA,NA,"2018_2019","C19_1","C19_1","1","20-12-2018",20,0,"2to5","blood","FWB","Pup"
"C19_FWB_pup_end_2018B",-16.8405453062619,-29.2128741653423,"C19_FWB_pup_end_2018B",8021022.94129344,0.914380798842605,"C19_FWB_pup_end_2018B","C19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F19_C19","F19","F",NA,"not sure about delta days","2018_2019","C19_2","C19_2","2","05-02-2019",67,47,"50","blood","FWB","Pup"
"C21_FWB_pup_start_2018",-64.552537770789,59.353278637892,"C21_FWB_pup_start_2018",11482968.0784298,1.05104646505335,"C21_FWB_pup_start_2018","C21","BGISEQ-500 Transcriptome","F20FTSEUHT0820_ARCbfrE","F21_C21","F21","M",NA,NA,"2018_2019","C21_1","C21_1","1","21-12-2018",21,0,"2to5","blood","FWB","Pup"
"C24_FWB_pup_start_2018B",8.9372729955292,8.61693110115749,"C24_FWB_pup_start_2018B",30158548.3303977,1.17511611046887,"C24_FWB_pup_start_2018B","C24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F24_C24","F24","M",NA,NA,"2018_2019","C24_1","C24_1","1","21-12-2018",21,0,"2to5","blood","FWB","Pup"
"C24_FWB_pup_end_2018B",67.9656791877234,-40.7703507917897,"C24_FWB_pup_end_2018B",20914490.809852,0.981546762608676,"C24_FWB_pup_end_2018B","C24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F24_C24","F24","M",NA,"not sure about delta days","2018_2019","C24_2","C24_2","2","17-02-2019",79,58,"61","blood","FWB","Pup"
"C5_FWB_pup_start_2018B",25.9003341470294,-66.924880513575,"C5_FWB_pup_start_2018B",16022472.9784813,1.06357080283826,"C5_FWB_pup_start_2018B","C5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F5_C5","F5","M",NA,NA,"2018_2019","C5_1","C5_1","1","14-12-2018",14,0,"2to5","blood","FWB","Pup"
