Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C11_FWB_pup_start_2018B_1	C11_FWB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66712384.0	0.0	100.0	51.0	45.80376542847802	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C11_FWB_pup_start_2018B_2	C11_FWB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66712384.0	0.0	100.0	51.0	48.25331714655014	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C14_FWB_pup_end_2018B_1	C14_FWB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49884890.0	0.0	100.0	53.0	42.59864176044397	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C14_FWB_pup_end_2018B_2	C14_FWB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49884890.0	0.0	100.0	53.0	45.94508216035994	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C14_FWB_pup_start_2018B_1	C14_FWB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25682215.0	0.0	100.0	53.0	38.3617331923148	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C14_FWB_pup_start_2018B_2	C14_FWB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25682215.0	0.0	100.0	53.0	39.92147066519914	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C15_FWB_pup_start_2018B_1	C15_FWB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68180229.0	0.0	100.0	51.0	40.946711118434436	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C15_FWB_pup_start_2018B_2	C15_FWB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68180229.0	0.0	100.0	52.0	44.621333349723905	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C16_FWB_pup_start_2018B_1	C16_FWB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64380142.0	0.0	100.0	53.0	42.877093175305106	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C16_FWB_pup_start_2018B_2	C16_FWB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64380142.0	0.0	100.0	53.0	43.936073038524064	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C17_FWB_pup_end_2018B_1	C17_FWB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56531180.0	0.0	100.0	52.0	43.62619795601314	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C17_FWB_pup_end_2018B_2	C17_FWB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56531180.0	0.0	100.0	52.0	46.93006031565549	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C17_FWB_pup_start_2018B_1	C17_FWB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66911137.0	0.0	100.0	53.0	44.782295526039775	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C17_FWB_pup_start_2018B_2	C17_FWB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66911137.0	0.0	100.0	53.0	48.22443265132087	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C18_FWB_pup_end_2018B_1	C18_FWB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66924125.0	0.0	100.0	53.0	37.37038120723311	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C18_FWB_pup_end_2018B_2	C18_FWB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66924125.0	0.0	100.0	53.0	41.34407626871276	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C18_FWB_pup_start_2018B_1	C18_FWB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62078917.0	0.0	100.0	52.0	42.15281384284587	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | C18_FWB_pup_start_2018B_2	C18_FWB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62078917.0	0.0	100.0	53.0	47.147927395519076	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
