Colony	Sample_ID
FWB	ID_V1_8106
FWB	ID_V1_8114
FWB	ID_V1_8051
FWB	ID_V1_8059
FWB	ID_V1_8067
FWB	ID_V1_8075
FWB	ID_V1_8083
FWB	ID_V1_8091
FWB	ID_V1_8099
FWB	ID_V1_8108
FWB	ID_V1_8115
FWB	ID_V1_8052
FWB	ID_V1_8060
FWB	ID_V1_8068
FWB	ID_V1_8076
FWB	ID_V1_8085
SSB	ID_V1_8092
SSB	ID_V1_8100
SSB	ID_V1_8107
SSB	ID_V1_8116
SSB	ID_V1_8053
SSB	ID_V1_8061
SSB	ID_V1_8069
SSB	ID_V1_8077
SSB	ID_V1_8084
SSB	ID_V1_8093
SSB	ID_V1_8101
SSB	ID_V1_8109
SSB	ID_V1_8117
SSB	ID_V1_8054
SSB	ID_V1_8062
SSB	ID_V1_8070
SSB	ID_V1_8078
SSB	ID_V1_8086
SSB	ID_V1_8094
SSB	ID_V1_8102
SSB	ID_V1_8110
SSB	ID_V1_8118
SSB	ID_V1_8119
SSB	ID_V1_8123
SSB	ID_V1_8127
FWB	ID_V1_8130
FWB	ID_V1_8133
FWB	ID_V1_8136
FWB	ID_V1_8139
FWB	ID_V1_8140
FWB	ID_V1_8141
FWB	ID_V1_8120
FWB	ID_V1_8124
FWB	ID_V1_8128
FWB	ID_V1_8131
FWB	ID_V1_8134
FWB	ID_V1_8137
FWB	ID_V1_8142
FWB	ID_V1_8143
FWB	ID_V1_8144
FWB	ID_V1_8121
FWB	ID_V1_8125
FWB	ID_V1_8129
FWB	ID_V1_8132
FWB	ID_V1_8135
FWB	ID_V1_8138
FWB	ID_V1_8145
FWB	ID_V1_8146
FWB	ID_V1_8147
FWB	ID_V1_8122
FWB	ID_V1_8126
FWB	ID_V1_10454
FWB	ID_V1_10472
FWB	ID_V1_10456
FWB	ID_V1_10486
FWB	ID_V1_13679
FWB	ID_V1_10495
SSB	ID_V1_10404
SSB	ID_V1_10420
SSB	ID_V1_10428
SSB	ID_V1_10429
SSB	ID_V1_10445
SSB	ID_V1_10453
FWB	ID_V1_10455
FWB	ID_V1_10457
FWB	ID_V1_13677
FWB	ID_V1_10492
FWB	ID_V1_10479
SSB	ID_V1_10413
SSB	ID_V1_10421
SSB	ID_V1_10406
SSB	ID_V1_10438
SSB	ID_V1_10446
SSB	ID_V1_10431
FWB	ID_V1_10464
FWB	ID_V1_10473
FWB	ID_V1_10458
FWB	ID_V1_10487
FWB	ID_V1_13676
FWB	ID_V1_10480
SSB	ID_V1_10414
SSB	ID_V1_10422
SSB	ID_V1_10407
SSB	ID_V1_10439
SSB	ID_V1_10447
SSB	ID_V1_10432
FWB	ID_V1_10465
FWB	ID_V1_10474
FWB	ID_V1_10459
FWB	ID_V1_13678
FWB	ID_V1_13680
FWB	ID_V1_10481
SSB	ID_V1_10415
SSB	ID_V1_10423
SSB	ID_V1_10408
SSB	ID_V1_10440
SSB	ID_V1_10430
SSB	ID_V1_10433
FWB	ID_V1_10467
FWB	ID_V1_10475
FWB	ID_V1_10460
FWB	ID_V1_10488
FWB	ID_V1_10403
FWB	ID_V1_10482
SSB	ID_V1_10416
SSB	ID_V1_10424
SSB	ID_V1_10409
SSB	ID_V1_10441
SSB	ID_V1_10448
SSB	ID_V1_10434
FWB	ID_V1_10468
FWB	ID_V1_10476
FWB	ID_V1_10461
FWB	ID_V1_10489
FWB	ID_V1_10493
FWB	ID_V1_10483
SSB	ID_V1_10417
SSB	ID_V1_10425
SSB	ID_V1_10410
SSB	ID_V1_10442
SSB	ID_V1_10449
SSB	ID_V1_10435
FWB	ID_V1_10469
FWB	ID_V1_10477
FWB	ID_V1_10462
FWB	ID_V1_10490
FWB	ID_V1_13681
FWB	ID_V1_10484
SSB	ID_V1_10418
SSB	ID_V1_10426
SSB	ID_V1_10411
SSB	ID_V1_10443
SSB	ID_V1_10450
SSB	ID_V1_10436
FWB	ID_V1_10470
FWB	ID_V1_10478
FWB	ID_V1_13675
FWB	ID_V1_10491
FWB	ID_V1_10494
FWB	ID_V1_10485
SSB	ID_V1_10419
SSB	ID_V1_10427
SSB	ID_V1_10412
SSB	ID_V1_10444
SSB	ID_V1_10451
SSB	ID_V1_10437
FWB	ID_V1_10471
SSB	ID_V1_10405
SSB	ID_V1_10452
FWB	ID_V1_9697
FWB	ID_V1_10463
FWB	ID_V1_10466
SSB	ID_V1_8047
SSB	ID_V1_8055
SSB	ID_V1_8063
SSB	ID_V1_8071
SSB	ID_V1_8079
SSB	ID_V1_8087
SSB	ID_V1_8095
SSB	ID_V1_7166
SSB	ID_V1_8111
SSB	ID_V1_8048
SSB	ID_V1_8056
SSB	ID_V1_8064
SSB	ID_V1_8072
SSB	ID_V1_8080
SSB	ID_V1_8089
SSB	ID_V1_8096
SSB	ID_V1_8104
SSB	ID_V1_8112
SSB	ID_V1_8049
SSB	ID_V1_8057
SSB	ID_V1_8065
SSB	ID_V1_8073
SSB	ID_V1_8081
SSB	ID_V1_8088
SSB	ID_V1_8097
FWB	ID_V1_8105
FWB	ID_V1_8113
FWB	ID_V1_8050
FWB	ID_V1_8058
FWB	ID_V1_8066
FWB	ID_V1_8074
FWB	ID_V1_8082
FWB	ID_V1_8090
FWB	ID_V1_8098
	
	
	
	
	
	
	
	
	
	
	
	
