ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
F1;F1_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;F1_C1;NA;F;NA;NA;2018_2019;1;10-12-2018;10;0;NA;blood;FWB;Mother
C1;C1_FWB_pup_start_2018A;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F1_C1;F1;M;NA;NA;2018_2019;1;10-12-2018;10;0;2to5;blood;FWB;Pup
F1;F1_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F1_C1;NA;F;NA;NA;2018_2019;2;02-02-2019;64;54;NA;blood;FWB;Mother
C1;C1_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F1_C1;F1;M;NA;not sure about delta days;2018_2019;2;02-02-2019;64;54;57;blood;FWB;Pup
F11;F11_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F11_C11;NA;F;NA;NA;2018_2019;1;18-12-2018;18;0;NA;blood;FWB;Mother
C11;C11_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F11_C11;F11;F;NA;NA;2018_2019;1;18-12-2018;18;0;2to5;blood;FWB;Pup
F11;F11_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F11_C11;NA;F;NA;NA;2018_2019;2;23-01-2019;54;36;NA;blood;FWB;Mother
F14;F14_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F14_C14;NA;F;NA;NA;2018_2019;1;20-12-2018;20;0;NA;blood;FWB;Mother
C14;C14_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F14_C14;F14;M;NA;NA;2018_2019;1;20-12-2018;20;0;2to5;blood;FWB;Pup
F14;F14_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F14_C14;NA;F;NA;NA;2018_2019;2;07-02-2019;69;49;NA;blood;FWB;Mother
C14;C14_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F14_C14;F14;M;NA;not sure about delta days;2018_2019;2;07-02-2019;69;49;52;blood;FWB;Pup
F15;F15_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F15_C15;NA;F;NA;NA;2018_2019;1;20-12-2018;20;0;NA;blood;FWB;Mother
C15;C15_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F15_C15;F15;M;NA;NA;2018_2019;1;20-12-2018;20;0;2to5;blood;FWB;Pup
F15;F15_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F15_C15;NA;F;NA;NA;2018_2019;2;23-01-2019;54;34;NA;blood;FWB;Mother
F16;F16_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F16_C16;NA;F;NA;NA;2018_2019;1;20-12-2018;20;0;NA;blood;FWB;Mother
C16;C16_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;F16_C16;F16;M;NA;NA;2018_2019;1;20-12-2018;20;0;2to5;blood;FWB;Pup
F16;F16_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F16_C16;NA;F;NA;NA;2018_2019;2;29-01-2019;60;40;NA;blood;FWB;Mother
F17;F17_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F17_C17;NA;F;NA;NA;2018_2019;1;20-12-2018;20;0;NA;blood;FWB;Mother
C17;C17_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F17_C17;F17;M;NA;NA;2018_2019;1;20-12-2018;20;0;2to5;blood;FWB;Pup
F17;F17_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F17_C17;NA;F;NA;NA;2018_2019;2;11-02-2019;73;53;NA;blood;FWB;Mother
C17;C17_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F17_C17;F17;M;NA;not sure about delta days;2018_2019;2;11-02-2019;73;53;56;blood;FWB;Pup
F18;F18_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F18_C18;NA;F;NA;NA;2018_2019;1;20-12-2018;20;0;NA;blood;FWB;Mother
C18;C18_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F18_C18;F18;F;NA;NA;2018_2019;1;20-12-2018;20;0;2to5;blood;FWB;Pup
F18;F18_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCokaE;F18_C18;NA;F;NA;NA;2018_2019;2;11-02-2019;73;53;NA;blood;FWB;Mother
C18;C18_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F18_C18;F18;F;NA;not sure about delta days;2018_2019;2;11-02-2019;73;53;56;blood;FWB;Pup
F19;F19_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;F19_C19;NA;F;NA;NA;2018_2019;1;20-12-2018;20;0;NA;blood;FWB;Mother
C19;C19_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F19_C19;F19;F;NA;NA;2018_2019;1;20-12-2018;20;0;2to5;blood;FWB;Pup
F19;F19_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F19_C19;NA;F;NA;NA;2018_2019;2;05-02-2019;67;47;NA;blood;FWB;Mother
C19;C19_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F19_C19;F19;F;NA;not sure about delta days;2018_2019;2;05-02-2019;67;47;50;blood;FWB;Pup
F21;F21_FWB_mum_start_2018;BGISEQ-500 Transcriptome;F20FTSEUHT0820_ARCbfrE;F21_C21;NA;F;NA;NA;2018_2019;1;21-12-2018;21;0;NA;blood;FWB;Mother
C21;C21_FWB_pup_start_2018;BGISEQ-500 Transcriptome;F20FTSEUHT0820_ARCbfrE;F21_C21;F21;M;NA;NA;2018_2019;1;21-12-2018;21;0;2to5;blood;FWB;Pup
F24;F24_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F24_C24;NA;F;NA;NA;2018_2019;1;21-12-2018;21;0;NA;blood;FWB;Mother
C24;C24_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F24_C24;F24;M;NA;NA;2018_2019;1;21-12-2018;21;0;2to5;blood;FWB;Pup
